-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-92.25,2012,05,01,              2.75
46.25,-91.75,2012,05,01,              3.96
46.25,-91.25,2012,05,01,              3.96
46.25,-90.75,2012,05,01,              3.96
46.25,-90.25,2012,05,01,              3.96
46.25,-89.75,2012,05,01,              5.24
46.25,-89.25,2012,05,01,              5.24
46.25,-88.75,2012,05,01,              5.24
46.25,-88.25,2012,05,01,              5.24
46.75,-92.25,2012,05,01,              2.75
46.75,-91.75,2012,05,01,              3.96
46.75,-91.25,2012,05,01,              3.96
46.75,-90.75,2012,05,01,              3.96
46.75,-90.25,2012,05,01,              3.96
46.75,-89.75,2012,05,01,              5.24
46.75,-89.25,2012,05,01,              5.24
46.75,-88.75,2012,05,01,              5.24
46.75,-88.25,2012,05,01,              5.24
47.25,-92.25,2012,05,01,              2.59
47.25,-91.75,2012,05,01,              2.10
47.25,-91.25,2012,05,01,              2.10
47.25,-90.75,2012,05,01,              2.10
47.25,-90.25,2012,05,01,              2.10
47.25,-89.75,2012,05,01,              3.34
47.25,-89.25,2012,05,01,              3.34
47.25,-88.75,2012,05,01,              3.34
47.25,-88.25,2012,05,01,              3.34
47.75,-92.25,2012,05,01,              2.59
47.75,-91.75,2012,05,01,              2.10
47.75,-91.25,2012,05,01,              2.10
47.75,-90.75,2012,05,01,              2.10
47.75,-90.25,2012,05,01,              2.10
47.75,-89.75,2012,05,01,              3.34
47.75,-89.25,2012,05,01,              3.34
47.75,-88.75,2012,05,01,              3.34
47.75,-88.25,2012,05,01,              3.34
48.25,-92.25,2012,05,01,              4.05
48.25,-91.75,2012,05,01,              3.59
48.25,-91.25,2012,05,01,              3.59
48.25,-90.75,2012,05,01,              3.59
48.25,-90.25,2012,05,01,              3.59
48.25,-89.75,2012,05,01,              3.79
48.25,-89.25,2012,05,01,              3.79
48.25,-88.75,2012,05,01,              3.79
48.25,-88.25,2012,05,01,              3.79
48.75,-92.25,2012,05,01,              4.05
48.75,-91.75,2012,05,01,              3.59
48.75,-91.25,2012,05,01,              3.59
48.75,-90.75,2012,05,01,              3.59
48.75,-90.25,2012,05,01,              3.59
48.75,-89.75,2012,05,01,              3.79
48.75,-89.25,2012,05,01,              3.79
48.75,-88.75,2012,05,01,              3.79
48.75,-88.25,2012,05,01,              3.79
49.25,-92.25,2012,05,01,              5.24
49.25,-91.75,2012,05,01,              5.88
49.25,-91.25,2012,05,01,              5.88
49.25,-90.75,2012,05,01,              5.88
49.25,-90.25,2012,05,01,              5.88
49.25,-89.75,2012,05,01,              6.17
49.25,-89.25,2012,05,01,              6.17
49.25,-88.75,2012,05,01,              6.17
49.25,-88.25,2012,05,01,              6.17
49.75,-92.25,2012,05,01,              5.24
49.75,-91.75,2012,05,01,              5.88
49.75,-91.25,2012,05,01,              5.88
49.75,-90.75,2012,05,01,              5.88
49.75,-90.25,2012,05,01,              5.88
49.75,-89.75,2012,05,01,              6.17
49.75,-89.25,2012,05,01,              6.17
49.75,-88.75,2012,05,01,              6.17
49.75,-88.25,2012,05,01,              6.17
50.25,-92.25,2012,05,01,              5.50
50.25,-91.75,2012,05,01,              5.37
50.25,-91.25,2012,05,01,              5.37
50.25,-90.75,2012,05,01,              5.37
50.25,-90.25,2012,05,01,              5.37
50.25,-89.75,2012,05,01,              5.81
50.25,-89.25,2012,05,01,              5.81
50.25,-88.75,2012,05,01,              5.81
50.25,-88.25,2012,05,01,              5.81
46.25,-92.25,2012,05,02,              6.89
46.25,-91.75,2012,05,02,              6.34
46.25,-91.25,2012,05,02,              6.34
46.25,-90.75,2012,05,02,              6.34
46.25,-90.25,2012,05,02,              6.34
46.25,-89.75,2012,05,02,              4.97
46.25,-89.25,2012,05,02,              4.97
46.25,-88.75,2012,05,02,              4.97
46.25,-88.25,2012,05,02,              4.97
46.75,-92.25,2012,05,02,              6.89
46.75,-91.75,2012,05,02,              6.34
46.75,-91.25,2012,05,02,              6.34
46.75,-90.75,2012,05,02,              6.34
46.75,-90.25,2012,05,02,              6.34
46.75,-89.75,2012,05,02,              4.97
46.75,-89.25,2012,05,02,              4.97
46.75,-88.75,2012,05,02,              4.97
46.75,-88.25,2012,05,02,              4.97
47.25,-92.25,2012,05,02,              6.31
47.25,-91.75,2012,05,02,              6.53
47.25,-91.25,2012,05,02,              6.53
47.25,-90.75,2012,05,02,              6.53
47.25,-90.25,2012,05,02,              6.53
47.25,-89.75,2012,05,02,              5.31
47.25,-89.25,2012,05,02,              5.31
47.25,-88.75,2012,05,02,              5.31
47.25,-88.25,2012,05,02,              5.31
47.75,-92.25,2012,05,02,              6.31
47.75,-91.75,2012,05,02,              6.53
47.75,-91.25,2012,05,02,              6.53
47.75,-90.75,2012,05,02,              6.53
47.75,-90.25,2012,05,02,              6.53
47.75,-89.75,2012,05,02,              5.31
47.75,-89.25,2012,05,02,              5.31
47.75,-88.75,2012,05,02,              5.31
47.75,-88.25,2012,05,02,              5.31
48.25,-92.25,2012,05,02,              6.41
48.25,-91.75,2012,05,02,              5.81
48.25,-91.25,2012,05,02,              5.81
48.25,-90.75,2012,05,02,              5.81
48.25,-90.25,2012,05,02,              5.81
48.25,-89.75,2012,05,02,              4.73
48.25,-89.25,2012,05,02,              4.73
48.25,-88.75,2012,05,02,              4.73
48.25,-88.25,2012,05,02,              4.73
48.75,-92.25,2012,05,02,              6.41
48.75,-91.75,2012,05,02,              5.81
48.75,-91.25,2012,05,02,              5.81
48.75,-90.75,2012,05,02,              5.81
48.75,-90.25,2012,05,02,              5.81
48.75,-89.75,2012,05,02,              4.73
48.75,-89.25,2012,05,02,              4.73
48.75,-88.75,2012,05,02,              4.73
48.75,-88.25,2012,05,02,              4.73
49.25,-92.25,2012,05,02,              5.53
49.25,-91.75,2012,05,02,              4.98
49.25,-91.25,2012,05,02,              4.98
49.25,-90.75,2012,05,02,              4.98
49.25,-90.25,2012,05,02,              4.98
49.25,-89.75,2012,05,02,              3.90
49.25,-89.25,2012,05,02,              3.90
49.25,-88.75,2012,05,02,              3.90
49.25,-88.25,2012,05,02,              3.90
49.75,-92.25,2012,05,02,              5.53
49.75,-91.75,2012,05,02,              4.98
49.75,-91.25,2012,05,02,              4.98
49.75,-90.75,2012,05,02,              4.98
49.75,-90.25,2012,05,02,              4.98
49.75,-89.75,2012,05,02,              3.90
49.75,-89.25,2012,05,02,              3.90
49.75,-88.75,2012,05,02,              3.90
49.75,-88.25,2012,05,02,              3.90
50.25,-92.25,2012,05,02,              3.43
50.25,-91.75,2012,05,02,              2.76
50.25,-91.25,2012,05,02,              2.76
50.25,-90.75,2012,05,02,              2.76
50.25,-90.25,2012,05,02,              2.76
50.25,-89.75,2012,05,02,              2.50
50.25,-89.25,2012,05,02,              2.50
50.25,-88.75,2012,05,02,              2.50
50.25,-88.25,2012,05,02,              2.50
46.25,-92.25,2012,05,03,              6.15
46.25,-91.75,2012,05,03,              4.11
46.25,-91.25,2012,05,03,              4.11
46.25,-90.75,2012,05,03,              4.11
46.25,-90.25,2012,05,03,              4.11
46.25,-89.75,2012,05,03,              3.66
46.25,-89.25,2012,05,03,              3.66
46.25,-88.75,2012,05,03,              3.66
46.25,-88.25,2012,05,03,              3.66
46.75,-92.25,2012,05,03,              6.15
46.75,-91.75,2012,05,03,              4.11
46.75,-91.25,2012,05,03,              4.11
46.75,-90.75,2012,05,03,              4.11
46.75,-90.25,2012,05,03,              4.11
46.75,-89.75,2012,05,03,              3.66
46.75,-89.25,2012,05,03,              3.66
46.75,-88.75,2012,05,03,              3.66
46.75,-88.25,2012,05,03,              3.66
47.25,-92.25,2012,05,03,              4.54
47.25,-91.75,2012,05,03,              4.81
47.25,-91.25,2012,05,03,              4.81
47.25,-90.75,2012,05,03,              4.81
47.25,-90.25,2012,05,03,              4.81
47.25,-89.75,2012,05,03,              3.27
47.25,-89.25,2012,05,03,              3.27
47.25,-88.75,2012,05,03,              3.27
47.25,-88.25,2012,05,03,              3.27
47.75,-92.25,2012,05,03,              4.54
47.75,-91.75,2012,05,03,              4.81
47.75,-91.25,2012,05,03,              4.81
47.75,-90.75,2012,05,03,              4.81
47.75,-90.25,2012,05,03,              4.81
47.75,-89.75,2012,05,03,              3.27
47.75,-89.25,2012,05,03,              3.27
47.75,-88.75,2012,05,03,              3.27
47.75,-88.25,2012,05,03,              3.27
48.25,-92.25,2012,05,03,              3.53
48.25,-91.75,2012,05,03,              3.94
48.25,-91.25,2012,05,03,              3.94
48.25,-90.75,2012,05,03,              3.94
48.25,-90.25,2012,05,03,              3.94
48.25,-89.75,2012,05,03,              2.62
48.25,-89.25,2012,05,03,              2.62
48.25,-88.75,2012,05,03,              2.62
48.25,-88.25,2012,05,03,              2.62
48.75,-92.25,2012,05,03,              3.53
48.75,-91.75,2012,05,03,              3.94
48.75,-91.25,2012,05,03,              3.94
48.75,-90.75,2012,05,03,              3.94
48.75,-90.25,2012,05,03,              3.94
48.75,-89.75,2012,05,03,              2.62
48.75,-89.25,2012,05,03,              2.62
48.75,-88.75,2012,05,03,              2.62
48.75,-88.25,2012,05,03,              2.62
49.25,-92.25,2012,05,03,              3.01
49.25,-91.75,2012,05,03,              3.39
49.25,-91.25,2012,05,03,              3.39
49.25,-90.75,2012,05,03,              3.39
49.25,-90.25,2012,05,03,              3.39
49.25,-89.75,2012,05,03,              3.57
49.25,-89.25,2012,05,03,              3.57
49.25,-88.75,2012,05,03,              3.57
49.25,-88.25,2012,05,03,              3.57
49.75,-92.25,2012,05,03,              3.01
49.75,-91.75,2012,05,03,              3.39
49.75,-91.25,2012,05,03,              3.39
49.75,-90.75,2012,05,03,              3.39
