-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-124.25,2012,05,01,              4.28
46.25,-123.75,2012,05,01,              4.43
46.25,-123.25,2012,05,01,              4.43
46.25,-122.75,2012,05,01,              4.43
46.25,-122.25,2012,05,01,              4.43
46.25,-121.75,2012,05,01,              4.87
46.25,-121.25,2012,05,01,              4.87
46.25,-120.75,2012,05,01,              4.87
46.25,-120.25,2012,05,01,              4.87
46.75,-124.25,2012,05,01,              4.28
46.75,-123.75,2012,05,01,              4.43
46.75,-123.25,2012,05,01,              4.43
46.75,-122.75,2012,05,01,              4.43
46.75,-122.25,2012,05,01,              4.43
46.75,-121.75,2012,05,01,              4.87
46.75,-121.25,2012,05,01,              4.87
46.75,-120.75,2012,05,01,              4.87
46.75,-120.25,2012,05,01,              4.87
47.25,-124.25,2012,05,01,              4.44
47.25,-123.75,2012,05,01,              4.09
47.25,-123.25,2012,05,01,              4.09
47.25,-122.75,2012,05,01,              4.09
47.25,-122.25,2012,05,01,              4.09
47.25,-121.75,2012,05,01,              5.18
47.25,-121.25,2012,05,01,              5.18
47.25,-120.75,2012,05,01,              5.18
47.25,-120.25,2012,05,01,              5.18
47.75,-124.25,2012,05,01,              4.44
47.75,-123.75,2012,05,01,              4.09
47.75,-123.25,2012,05,01,              4.09
47.75,-122.75,2012,05,01,              4.09
47.75,-122.25,2012,05,01,              4.09
47.75,-121.75,2012,05,01,              5.18
47.75,-121.25,2012,05,01,              5.18
47.75,-120.75,2012,05,01,              5.18
47.75,-120.25,2012,05,01,              5.18
48.25,-124.25,2012,05,01,              4.34
48.25,-123.75,2012,05,01,              3.98
48.25,-123.25,2012,05,01,              3.98
48.25,-122.75,2012,05,01,              3.98
48.25,-122.25,2012,05,01,              3.98
48.25,-121.75,2012,05,01,              3.93
48.25,-121.25,2012,05,01,              3.93
48.25,-120.75,2012,05,01,              3.93
48.25,-120.25,2012,05,01,              3.93
48.75,-124.25,2012,05,01,              4.34
48.75,-123.75,2012,05,01,              3.98
48.75,-123.25,2012,05,01,              3.98
48.75,-122.75,2012,05,01,              3.98
48.75,-122.25,2012,05,01,              3.98
48.75,-121.75,2012,05,01,              3.93
48.75,-121.25,2012,05,01,              3.93
48.75,-120.75,2012,05,01,              3.93
48.75,-120.25,2012,05,01,              3.93
49.25,-124.25,2012,05,01,              4.18
49.25,-123.75,2012,05,01,              3.58
