-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-116.25,2012,05,01,              4.07
30.25,-115.75,2012,05,01,              5.81
30.25,-115.25,2012,05,01,              5.81
30.25,-114.75,2012,05,01,              8.01
30.25,-114.25,2012,05,01,              8.01
30.25,-113.75,2012,05,01,              8.11
30.25,-113.25,2012,05,01,              8.11
30.25,-112.75,2012,05,01,              7.63
30.25,-112.25,2012,05,01,              7.63
30.75,-116.25,2012,05,01,              4.07
30.75,-115.75,2012,05,01,              5.81
30.75,-115.25,2012,05,01,              5.81
30.75,-114.75,2012,05,01,              8.01
30.75,-114.25,2012,05,01,              8.01
30.75,-113.75,2012,05,01,              8.11
30.75,-113.25,2012,05,01,              8.11
30.75,-112.75,2012,05,01,              7.63
30.75,-112.25,2012,05,01,              7.63
31.25,-116.25,2012,05,01,              5.10
31.25,-115.75,2012,05,01,              7.53
31.25,-115.25,2012,05,01,              7.53
31.25,-114.75,2012,05,01,              8.18
31.25,-114.25,2012,05,01,              8.18
31.25,-113.75,2012,05,01,              7.71
31.25,-113.25,2012,05,01,              7.71
31.25,-112.75,2012,05,01,              7.78
31.25,-112.25,2012,05,01,              7.78
31.75,-116.25,2012,05,01,              5.10
31.75,-115.75,2012,05,01,              7.53
31.75,-115.25,2012,05,01,              7.53
31.75,-114.75,2012,05,01,              8.18
31.75,-114.25,2012,05,01,              8.18
31.75,-113.75,2012,05,01,              7.71
31.75,-113.25,2012,05,01,              7.71
31.75,-112.75,2012,05,01,              7.78
31.75,-112.25,2012,05,01,              7.78
32.25,-116.25,2012,05,01,              7.18
32.25,-115.75,2012,05,01,              7.74
32.25,-115.25,2012,05,01,              7.74
32.25,-114.75,2012,05,01,              7.66
32.25,-114.25,2012,05,01,              7.66
32.25,-113.75,2012,05,01,              7.66
32.25,-113.25,2012,05,01,              7.66
32.25,-112.75,2012,05,01,              7.76
32.25,-112.25,2012,05,01,              7.76
32.75,-116.25,2012,05,01,              7.18
32.75,-115.75,2012,05,01,              7.74
32.75,-115.25,2012,05,01,              7.74
32.75,-114.75,2012,05,01,              7.66
32.75,-114.25,2012,05,01,              7.66
32.75,-113.75,2012,05,01,              7.66
32.75,-113.25,2012,05,01,              7.66
32.75,-112.75,2012,05,01,              7.76
32.75,-112.25,2012,05,01,              7.76
33.25,-116.25,2012,05,01,              6.13
33.25,-115.75,2012,05,01,              7.01
33.25,-115.25,2012,05,01,              7.01
33.25,-114.75,2012,05,01,              6.79
33.25,-114.25,2012,05,01,              6.79
33.25,-113.75,2012,05,01,              6.98
33.25,-113.25,2012,05,01,              6.98
33.25,-112.75,2012,05,01,              7.27
33.25,-112.25,2012,05,01,              7.27
33.75,-116.25,2012,05,01,              6.13
33.75,-115.75,2012,05,01,              7.01
33.75,-115.25,2012,05,01,              7.01
33.75,-114.75,2012,05,01,              6.79
33.75,-114.25,2012,05,01,              6.79
33.75,-113.75,2012,05,01,              6.98
33.75,-113.25,2012,05,01,              6.98
33.75,-112.75,2012,05,01,              7.27
33.75,-112.25,2012,05,01,              7.27
34.25,-116.25,2012,05,01,              6.96
34.25,-115.75,2012,05,01,              6.80
34.25,-115.25,2012,05,01,              6.80
34.25,-114.75,2012,05,01,              5.91
34.25,-114.25,2012,05,01,              5.91
34.25,-113.75,2012,05,01,              5.52
34.25,-113.25,2012,05,01,              5.52
34.25,-112.75,2012,05,01,              5.80
34.25,-112.25,2012,05,01,              5.80
30.25,-116.25,2012,05,02,              5.69
30.25,-115.75,2012,05,02,              7.44
30.25,-115.25,2012,05,02,              7.44
30.25,-114.75,2012,05,02,              7.92
30.25,-114.25,2012,05,02,              7.92
30.25,-113.75,2012,05,02,              7.79
30.25,-113.25,2012,05,02,              7.79
30.25,-112.75,2012,05,02,              7.59
30.25,-112.25,2012,05,02,              7.59
30.75,-116.25,2012,05,02,              5.69
30.75,-115.75,2012,05,02,              7.44
30.75,-115.25,2012,05,02,              7.44
30.75,-114.75,2012,05,02,              7.92
30.75,-114.25,2012,05,02,              7.92
30.75,-113.75,2012,05,02,              7.79
30.75,-113.25,2012,05,02,              7.79
30.75,-112.75,2012,05,02,              7.59
30.75,-112.25,2012,05,02,              7.59
31.25,-116.25,2012,05,02,              6.40
31.25,-115.75,2012,05,02,              7.18
31.25,-115.25,2012,05,02,              7.18
31.25,-114.75,2012,05,02,              7.98
31.25,-114.25,2012,05,02,              7.98
31.25,-113.75,2012,05,02,              7.66
31.25,-113.25,2012,05,02,              7.66
31.25,-112.75,2012,05,02,              7.64
