-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-96.25,2012,05,01,              4.40
46.25,-95.75,2012,05,01,              2.31
46.25,-95.25,2012,05,01,              2.31
46.25,-94.75,2012,05,01,              2.31
46.25,-94.25,2012,05,01,              2.31
46.25,-93.75,2012,05,01,              2.75
46.25,-93.25,2012,05,01,              2.75
46.25,-92.75,2012,05,01,              2.75
46.25,-92.25,2012,05,01,              2.75
46.75,-96.25,2012,05,01,              4.40
46.75,-95.75,2012,05,01,              2.31
46.75,-95.25,2012,05,01,              2.31
46.75,-94.75,2012,05,01,              2.31
46.75,-94.25,2012,05,01,              2.31
46.75,-93.75,2012,05,01,              2.75
46.75,-93.25,2012,05,01,              2.75
46.75,-92.75,2012,05,01,              2.75
46.75,-92.25,2012,05,01,              2.75
47.25,-96.25,2012,05,01,              2.97
47.25,-95.75,2012,05,01,              2.41
47.25,-95.25,2012,05,01,              2.41
47.25,-94.75,2012,05,01,              2.41
47.25,-94.25,2012,05,01,              2.41
47.25,-93.75,2012,05,01,              2.59
47.25,-93.25,2012,05,01,              2.59
47.25,-92.75,2012,05,01,              2.59
47.25,-92.25,2012,05,01,              2.59
47.75,-96.25,2012,05,01,              2.97
47.75,-95.75,2012,05,01,              2.41
47.75,-95.25,2012,05,01,              2.41
47.75,-94.75,2012,05,01,              2.41
47.75,-94.25,2012,05,01,              2.41
47.75,-93.75,2012,05,01,              2.59
47.75,-93.25,2012,05,01,              2.59
47.75,-92.75,2012,05,01,              2.59
47.75,-92.25,2012,05,01,              2.59
48.25,-96.25,2012,05,01,              3.42
48.25,-95.75,2012,05,01,              4.11
48.25,-95.25,2012,05,01,              4.11
48.25,-94.75,2012,05,01,              4.11
48.25,-94.25,2012,05,01,              4.11
48.25,-93.75,2012,05,01,              4.05
48.25,-93.25,2012,05,01,              4.05
48.25,-92.75,2012,05,01,              4.05
48.25,-92.25,2012,05,01,              4.05
48.75,-96.25,2012,05,01,              3.42
48.75,-95.75,2012,05,01,              4.11
