-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-116.25,2012,05,01,              6.81
26.25,-115.75,2012,05,01,              6.11
26.25,-115.25,2012,05,01,              6.11
26.25,-114.75,2012,05,01,              6.88
26.25,-114.25,2012,05,01,              6.88
26.25,-113.75,2012,05,01,              7.87
26.25,-113.25,2012,05,01,              7.87
26.25,-112.75,2012,05,01,              7.61
26.25,-112.25,2012,05,01,              7.61
26.75,-116.25,2012,05,01,              6.81
26.75,-115.75,2012,05,01,              6.11
26.75,-115.25,2012,05,01,              6.11
26.75,-114.75,2012,05,01,              6.88
26.75,-114.25,2012,05,01,              6.88
26.75,-113.75,2012,05,01,              7.87
26.75,-113.25,2012,05,01,              7.87
26.75,-112.75,2012,05,01,              7.61
26.75,-112.25,2012,05,01,              7.61
27.25,-116.25,2012,05,01,              5.74
27.25,-115.75,2012,05,01,              6.08
27.25,-115.25,2012,05,01,              6.08
27.25,-114.75,2012,05,01,              7.63
27.25,-114.25,2012,05,01,              7.63
27.25,-113.75,2012,05,01,              7.50
27.25,-113.25,2012,05,01,              7.50
27.25,-112.75,2012,05,01,              7.66
27.25,-112.25,2012,05,01,              7.66
27.75,-116.25,2012,05,01,              5.74
27.75,-115.75,2012,05,01,              6.08
27.75,-115.25,2012,05,01,              6.08
27.75,-114.75,2012,05,01,              7.63
27.75,-114.25,2012,05,01,              7.63
27.75,-113.75,2012,05,01,              7.50
27.75,-113.25,2012,05,01,              7.50
27.75,-112.75,2012,05,01,              7.66
27.75,-112.25,2012,05,01,              7.66
28.25,-116.25,2012,05,01,              4.14
28.25,-115.75,2012,05,01,              4.44
28.25,-115.25,2012,05,01,              4.44
28.25,-114.75,2012,05,01,              7.07
28.25,-114.25,2012,05,01,              7.07
28.25,-113.75,2012,05,01,              7.67
28.25,-113.25,2012,05,01,              7.67
28.25,-112.75,2012,05,01,              8.07
28.25,-112.25,2012,05,01,              8.07
28.75,-116.25,2012,05,01,              4.14
28.75,-115.75,2012,05,01,              4.44
28.75,-115.25,2012,05,01,              4.44
28.75,-114.75,2012,05,01,              7.07
28.75,-114.25,2012,05,01,              7.07
28.75,-113.75,2012,05,01,              7.67
28.75,-113.25,2012,05,01,              7.67
28.75,-112.75,2012,05,01,              8.07
28.75,-112.25,2012,05,01,              8.07
29.25,-116.25,2012,05,01,              3.60
29.25,-115.75,2012,05,01,              5.89
29.25,-115.25,2012,05,01,              5.89
29.25,-114.75,2012,05,01,              7.43
29.25,-114.25,2012,05,01,              7.43
29.25,-113.75,2012,05,01,              8.10
29.25,-113.25,2012,05,01,              8.10
