-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-84.25,2012,05,01,              5.14
38.25,-83.75,2012,05,01,              5.08
38.25,-83.25,2012,05,01,              5.08
38.25,-82.75,2012,05,01,              5.58
38.25,-82.25,2012,05,01,              5.58
38.25,-81.75,2012,05,01,              5.47
38.25,-81.25,2012,05,01,              5.47
38.25,-80.75,2012,05,01,              5.26
38.25,-80.25,2012,05,01,              5.26
38.75,-84.25,2012,05,01,              5.14
38.75,-83.75,2012,05,01,              5.08
38.75,-83.25,2012,05,01,              5.08
38.75,-82.75,2012,05,01,              5.58
38.75,-82.25,2012,05,01,              5.58
38.75,-81.75,2012,05,01,              5.47
38.75,-81.25,2012,05,01,              5.47
38.75,-80.75,2012,05,01,              5.26
38.75,-80.25,2012,05,01,              5.26
39.25,-84.25,2012,05,01,              4.32
39.25,-83.75,2012,05,01,              5.62
39.25,-83.25,2012,05,01,              5.62
39.25,-82.75,2012,05,01,              6.05
39.25,-82.25,2012,05,01,              6.05
39.25,-81.75,2012,05,01,              6.27
39.25,-81.25,2012,05,01,              6.27
39.25,-80.75,2012,05,01,              6.10
39.25,-80.25,2012,05,01,              6.10
39.75,-84.25,2012,05,01,              4.32
39.75,-83.75,2012,05,01,              5.62
39.75,-83.25,2012,05,01,              5.62
39.75,-82.75,2012,05,01,              6.05
39.75,-82.25,2012,05,01,              6.05
39.75,-81.75,2012,05,01,              6.27
39.75,-81.25,2012,05,01,              6.27
39.75,-80.75,2012,05,01,              6.10
39.75,-80.25,2012,05,01,              6.10
40.25,-84.25,2012,05,01,              3.85
40.25,-83.75,2012,05,01,              5.29
40.25,-83.25,2012,05,01,              5.29
40.25,-82.75,2012,05,01,              6.21
40.25,-82.25,2012,05,01,              6.21
40.25,-81.75,2012,05,01,              6.17
40.25,-81.25,2012,05,01,              6.17
40.25,-80.75,2012,05,01,              6.06
40.25,-80.25,2012,05,01,              6.06
40.75,-84.25,2012,05,01,              3.85
40.75,-83.75,2012,05,01,              5.29
40.75,-83.25,2012,05,01,              5.29
40.75,-82.75,2012,05,01,              6.21
40.75,-82.25,2012,05,01,              6.21
40.75,-81.75,2012,05,01,              6.17
40.75,-81.25,2012,05,01,              6.17
40.75,-80.75,2012,05,01,              6.06
40.75,-80.25,2012,05,01,              6.06
41.25,-84.25,2012,05,01,              4.28
41.25,-83.75,2012,05,01,              5.04
41.25,-83.25,2012,05,01,              5.04
41.25,-82.75,2012,05,01,              4.59
41.25,-82.25,2012,05,01,              4.59
41.25,-81.75,2012,05,01,              3.96
41.25,-81.25,2012,05,01,              3.96
41.25,-80.75,2012,05,01,              3.86
41.25,-80.25,2012,05,01,              3.86
