-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-108.25,2012,05,01,              8.11
30.25,-107.75,2012,05,01,              8.10
30.25,-107.25,2012,05,01,              8.10
30.25,-106.75,2012,05,01,              7.90
30.25,-106.25,2012,05,01,              7.90
30.25,-105.75,2012,05,01,              7.91
30.25,-105.25,2012,05,01,              7.91
30.25,-104.75,2012,05,01,              7.86
30.25,-104.25,2012,05,01,              7.86
30.75,-108.25,2012,05,01,              8.11
30.75,-107.75,2012,05,01,              8.10
30.75,-107.25,2012,05,01,              8.10
30.75,-106.75,2012,05,01,              7.90
30.75,-106.25,2012,05,01,              7.90
30.75,-105.75,2012,05,01,              7.91
30.75,-105.25,2012,05,01,              7.91
30.75,-104.75,2012,05,01,              7.86
30.75,-104.25,2012,05,01,              7.86
31.25,-108.25,2012,05,01,              8.08
31.25,-107.75,2012,05,01,              8.06
31.25,-107.25,2012,05,01,              8.06
31.25,-106.75,2012,05,01,              8.01
31.25,-106.25,2012,05,01,              8.01
31.25,-105.75,2012,05,01,              8.10
31.25,-105.25,2012,05,01,              8.10
31.25,-104.75,2012,05,01,              8.01
31.25,-104.25,2012,05,01,              8.01
31.75,-108.25,2012,05,01,              8.08
31.75,-107.75,2012,05,01,              8.06
31.75,-107.25,2012,05,01,              8.06
31.75,-106.75,2012,05,01,              8.01
31.75,-106.25,2012,05,01,              8.01
31.75,-105.75,2012,05,01,              8.10
31.75,-105.25,2012,05,01,              8.10
31.75,-104.75,2012,05,01,              8.01
31.75,-104.25,2012,05,01,              8.01
32.25,-108.25,2012,05,01,              7.98
32.25,-107.75,2012,05,01,              8.00
32.25,-107.25,2012,05,01,              8.00
32.25,-106.75,2012,05,01,              7.96
32.25,-106.25,2012,05,01,              7.96
32.25,-105.75,2012,05,01,              8.02
32.25,-105.25,2012,05,01,              8.02
32.25,-104.75,2012,05,01,              8.05
32.25,-104.25,2012,05,01,              8.05
32.75,-108.25,2012,05,01,              7.98
32.75,-107.75,2012,05,01,              8.00
