-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-80.25,2012,05,01,              7.20
34.25,-79.75,2012,05,01,              7.23
34.25,-79.25,2012,05,01,              7.23
34.25,-78.75,2012,05,01,              6.61
34.25,-78.25,2012,05,01,              6.61
34.25,-77.75,2012,05,01,              7.03
34.25,-77.25,2012,05,01,              7.03
34.25,-76.75,2012,05,01,              7.16
34.25,-76.25,2012,05,01,              7.16
34.75,-80.25,2012,05,01,              7.20
34.75,-79.75,2012,05,01,              7.23
34.75,-79.25,2012,05,01,              7.23
34.75,-78.75,2012,05,01,              6.61
34.75,-78.25,2012,05,01,              6.61
34.75,-77.75,2012,05,01,              7.03
34.75,-77.25,2012,05,01,              7.03
34.75,-76.75,2012,05,01,              7.16
34.75,-76.25,2012,05,01,              7.16
35.25,-80.25,2012,05,01,              7.12
35.25,-79.75,2012,05,01,              7.11
35.25,-79.25,2012,05,01,              7.11
35.25,-78.75,2012,05,01,              6.97
35.25,-78.25,2012,05,01,              6.97
35.25,-77.75,2012,05,01,              6.68
35.25,-77.25,2012,05,01,              6.68
35.25,-76.75,2012,05,01,              6.39
35.25,-76.25,2012,05,01,              6.39
35.75,-80.25,2012,05,01,              7.12
35.75,-79.75,2012,05,01,              7.11
35.75,-79.25,2012,05,01,              7.11
35.75,-78.75,2012,05,01,              6.97
35.75,-78.25,2012,05,01,              6.97
35.75,-77.75,2012,05,01,              6.68
35.75,-77.25,2012,05,01,              6.68
35.75,-76.75,2012,05,01,              6.39
35.75,-76.25,2012,05,01,              6.39
36.25,-80.25,2012,05,01,              6.67
36.25,-79.75,2012,05,01,              6.97
36.25,-79.25,2012,05,01,              6.97
36.25,-78.75,2012,05,01,              6.73
36.25,-78.25,2012,05,01,              6.73
36.25,-77.75,2012,05,01,              6.63
36.25,-77.25,2012,05,01,              6.63
36.25,-76.75,2012,05,01,              6.34
36.25,-76.25,2012,05,01,              6.34
36.75,-80.25,2012,05,01,              6.67
36.75,-79.75,2012,05,01,              6.97
36.75,-79.25,2012,05,01,              6.97
36.75,-78.75,2012,05,01,              6.73
36.75,-78.25,2012,05,01,              6.73
36.75,-77.75,2012,05,01,              6.63
36.75,-77.25,2012,05,01,              6.63
36.75,-76.75,2012,05,01,              6.34
36.75,-76.25,2012,05,01,              6.34
37.25,-80.25,2012,05,01,              4.02
37.25,-79.75,2012,05,01,              5.53
37.25,-79.25,2012,05,01,              5.53
37.25,-78.75,2012,05,01,              5.89
37.25,-78.25,2012,05,01,              5.89
37.25,-77.75,2012,05,01,              5.96
37.25,-77.25,2012,05,01,              5.96
