-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-68.25,2012,05,01,              2.86
46.25,-67.75,2012,05,01,              3.83
46.25,-67.25,2012,05,01,              3.83
46.25,-66.75,2012,05,01,              3.83
46.25,-66.25,2012,05,01,              3.83
46.25,-65.75,2012,05,01,              5.70
46.25,-65.25,2012,05,01,              5.70
46.25,-64.75,2012,05,01,              5.70
46.25,-64.25,2012,05,01,              5.70
46.75,-68.25,2012,05,01,              2.86
46.75,-67.75,2012,05,01,              3.83
46.75,-67.25,2012,05,01,              3.83
46.75,-66.75,2012,05,01,              3.83
46.75,-66.25,2012,05,01,              3.83
46.75,-65.75,2012,05,01,              5.70
46.75,-65.25,2012,05,01,              5.70
46.75,-64.75,2012,05,01,              5.70
46.75,-64.25,2012,05,01,              5.70
47.25,-68.25,2012,05,01,              4.03
47.25,-67.75,2012,05,01,              5.36
47.25,-67.25,2012,05,01,              5.36
47.25,-66.75,2012,05,01,              5.36
47.25,-66.25,2012,05,01,              5.36
47.25,-65.75,2012,05,01,              6.84
47.25,-65.25,2012,05,01,              6.84
47.25,-64.75,2012,05,01,              6.84
47.25,-64.25,2012,05,01,              6.84
47.75,-68.25,2012,05,01,              4.03
47.75,-67.75,2012,05,01,              5.36
47.75,-67.25,2012,05,01,              5.36
47.75,-66.75,2012,05,01,              5.36
47.75,-66.25,2012,05,01,              5.36
47.75,-65.75,2012,05,01,              6.84
47.75,-65.25,2012,05,01,              6.84
47.75,-64.75,2012,05,01,              6.84
47.75,-64.25,2012,05,01,              6.84
48.25,-68.25,2012,05,01,              6.30
48.25,-67.75,2012,05,01,              6.63
48.25,-67.25,2012,05,01,              6.63
48.25,-66.75,2012,05,01,              6.63
48.25,-66.25,2012,05,01,              6.63
48.25,-65.75,2012,05,01,              7.00
48.25,-65.25,2012,05,01,              7.00
48.25,-64.75,2012,05,01,              7.00
48.25,-64.25,2012,05,01,              7.00
48.75,-68.25,2012,05,01,              6.30
48.75,-67.75,2012,05,01,              6.63
48.75,-67.25,2012,05,01,              6.63
48.75,-66.75,2012,05,01,              6.63
48.75,-66.25,2012,05,01,              6.63
48.75,-65.75,2012,05,01,              7.00
48.75,-65.25,2012,05,01,              7.00
48.75,-64.75,2012,05,01,              7.00
48.75,-64.25,2012,05,01,              7.00
49.25,-68.25,2012,05,01,              6.42
49.25,-67.75,2012,05,01,              7.14
49.25,-67.25,2012,05,01,              7.14
49.25,-66.75,2012,05,01,              7.14
49.25,-66.25,2012,05,01,              7.14
49.25,-65.75,2012,05,01,              7.40
49.25,-65.25,2012,05,01,              7.40
49.25,-64.75,2012,05,01,              7.40
49.25,-64.25,2012,05,01,              7.40
49.75,-68.25,2012,05,01,              6.42
49.75,-67.75,2012,05,01,              7.14
49.75,-67.25,2012,05,01,              7.14
49.75,-66.75,2012,05,01,              7.14
49.75,-66.25,2012,05,01,              7.14
49.75,-65.75,2012,05,01,              7.40
49.75,-65.25,2012,05,01,              7.40
49.75,-64.75,2012,05,01,              7.40
49.75,-64.25,2012,05,01,              7.40
50.25,-68.25,2012,05,01,              6.27
50.25,-67.75,2012,05,01,              7.32
50.25,-67.25,2012,05,01,              7.32
50.25,-66.75,2012,05,01,              7.32
50.25,-66.25,2012,05,01,              7.32
50.25,-65.75,2012,05,01,              6.69
50.25,-65.25,2012,05,01,              6.69
50.25,-64.75,2012,05,01,              6.69
50.25,-64.25,2012,05,01,              6.69
46.25,-68.25,2012,05,02,              3.09
46.25,-67.75,2012,05,02,              4.06
46.25,-67.25,2012,05,02,              4.06
46.25,-66.75,2012,05,02,              4.06
46.25,-66.25,2012,05,02,              4.06
46.25,-65.75,2012,05,02,              4.62
46.25,-65.25,2012,05,02,              4.62
46.25,-64.75,2012,05,02,              4.62
46.25,-64.25,2012,05,02,              4.62
46.75,-68.25,2012,05,02,              3.09
46.75,-67.75,2012,05,02,              4.06
46.75,-67.25,2012,05,02,              4.06
46.75,-66.75,2012,05,02,              4.06
46.75,-66.25,2012,05,02,              4.06
46.75,-65.75,2012,05,02,              4.62
46.75,-65.25,2012,05,02,              4.62
46.75,-64.75,2012,05,02,              4.62
46.75,-64.25,2012,05,02,              4.62
47.25,-68.25,2012,05,02,              4.07
47.25,-67.75,2012,05,02,              4.65
47.25,-67.25,2012,05,02,              4.65
47.25,-66.75,2012,05,02,              4.65
47.25,-66.25,2012,05,02,              4.65
47.25,-65.75,2012,05,02,              6.78
47.25,-65.25,2012,05,02,              6.78
47.25,-64.75,2012,05,02,              6.78
47.25,-64.25,2012,05,02,              6.78
47.75,-68.25,2012,05,02,              4.07
47.75,-67.75,2012,05,02,              4.65
47.75,-67.25,2012,05,02,              4.65
47.75,-66.75,2012,05,02,              4.65
47.75,-66.25,2012,05,02,              4.65
47.75,-65.75,2012,05,02,              6.78
47.75,-65.25,2012,05,02,              6.78
47.75,-64.75,2012,05,02,              6.78
47.75,-64.25,2012,05,02,              6.78
48.25,-68.25,2012,05,02,              5.28
48.25,-67.75,2012,05,02,              5.54
48.25,-67.25,2012,05,02,              5.54
48.25,-66.75,2012,05,02,              5.54
48.25,-66.25,2012,05,02,              5.54
48.25,-65.75,2012,05,02,              6.20
48.25,-65.25,2012,05,02,              6.20
48.25,-64.75,2012,05,02,              6.20
48.25,-64.25,2012,05,02,              6.20
48.75,-68.25,2012,05,02,              5.28
48.75,-67.75,2012,05,02,              5.54
48.75,-67.25,2012,05,02,              5.54
48.75,-66.75,2012,05,02,              5.54
48.75,-66.25,2012,05,02,              5.54
48.75,-65.75,2012,05,02,              6.20
48.75,-65.25,2012,05,02,              6.20
48.75,-64.75,2012,05,02,              6.20
48.75,-64.25,2012,05,02,              6.20
49.25,-68.25,2012,05,02,              5.29
49.25,-67.75,2012,05,02,              7.14
49.25,-67.25,2012,05,02,              7.14
49.25,-66.75,2012,05,02,              7.14
49.25,-66.25,2012,05,02,              7.14
49.25,-65.75,2012,05,02,              7.24
49.25,-65.25,2012,05,02,              7.24
49.25,-64.75,2012,05,02,              7.24
49.25,-64.25,2012,05,02,              7.24
49.75,-68.25,2012,05,02,              5.29
49.75,-67.75,2012,05,02,              7.14
49.75,-67.25,2012,05,02,              7.14
49.75,-66.75,2012,05,02,              7.14
49.75,-66.25,2012,05,02,              7.14
49.75,-65.75,2012,05,02,              7.24
49.75,-65.25,2012,05,02,              7.24
49.75,-64.75,2012,05,02,              7.24
49.75,-64.25,2012,05,02,              7.24
50.25,-68.25,2012,05,02,              6.73
50.25,-67.75,2012,05,02,              6.50
50.25,-67.25,2012,05,02,              6.50
50.25,-66.75,2012,05,02,              6.50
50.25,-66.25,2012,05,02,              6.50
50.25,-65.75,2012,05,02,              6.23
50.25,-65.25,2012,05,02,              6.23
50.25,-64.75,2012,05,02,              6.23
50.25,-64.25,2012,05,02,              6.23
46.25,-68.25,2012,05,03,              4.68
46.25,-67.75,2012,05,03,              7.12
46.25,-67.25,2012,05,03,              7.12
46.25,-66.75,2012,05,03,              7.12
46.25,-66.25,2012,05,03,              7.12
46.25,-65.75,2012,05,03,              7.06
46.25,-65.25,2012,05,03,              7.06
46.25,-64.75,2012,05,03,              7.06
46.25,-64.25,2012,05,03,              7.06
46.75,-68.25,2012,05,03,              4.68
46.75,-67.75,2012,05,03,              7.12
46.75,-67.25,2012,05,03,              7.12
46.75,-66.75,2012,05,03,              7.12
