-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-100.25,2012,05,01,              4.92
26.25,-99.75,2012,05,01,              3.65
26.25,-99.25,2012,05,01,              3.65
26.25,-98.75,2012,05,01,              5.12
26.25,-98.25,2012,05,01,              5.12
26.25,-97.75,2012,05,01,              6.01
26.25,-97.25,2012,05,01,              6.01
26.25,-96.75,2012,05,01,              7.53
26.25,-96.25,2012,05,01,              7.53
26.75,-100.25,2012,05,01,              4.92
26.75,-99.75,2012,05,01,              3.65
26.75,-99.25,2012,05,01,              3.65
26.75,-98.75,2012,05,01,              5.12
26.75,-98.25,2012,05,01,              5.12
26.75,-97.75,2012,05,01,              6.01
26.75,-97.25,2012,05,01,              6.01
26.75,-96.75,2012,05,01,              7.53
26.75,-96.25,2012,05,01,              7.53
27.25,-100.25,2012,05,01,              4.32
27.25,-99.75,2012,05,01,              3.94
27.25,-99.25,2012,05,01,              3.94
27.25,-98.75,2012,05,01,              4.83
27.25,-98.25,2012,05,01,              4.83
27.25,-97.75,2012,05,01,              6.54
27.25,-97.25,2012,05,01,              6.54
27.25,-96.75,2012,05,01,              7.62
27.25,-96.25,2012,05,01,              7.62
27.75,-100.25,2012,05,01,              4.32
27.75,-99.75,2012,05,01,              3.94
27.75,-99.25,2012,05,01,              3.94
27.75,-98.75,2012,05,01,              4.83
27.75,-98.25,2012,05,01,              4.83
27.75,-97.75,2012,05,01,              6.54
27.75,-97.25,2012,05,01,              6.54
27.75,-96.75,2012,05,01,              7.62
