-BEGIN HEADER-,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,
Dates (month/day/year): 05/01/2012 through 09/30/2012 ,,,,,
Location: Regional ,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na ,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,
Parameter(s): ,,,,,
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) ,,,,,
-END HEADER-,,,,,
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-96.25,2012,5,1,7.53
26.25,-95.75,2012,5,1,7.49
26.25,-95.25,2012,5,1,7.49
26.25,-94.75,2012,5,1,7.23
26.25,-94.25,2012,5,1,7.23
26.25,-93.75,2012,5,1,7.3
26.25,-93.25,2012,5,1,7.3
26.25,-92.75,2012,5,1,7.48
26.25,-92.25,2012,5,1,7.48
26.75,-96.25,2012,5,1,7.53
26.75,-95.75,2012,5,1,7.49
26.75,-95.25,2012,5,1,7.49
26.75,-94.75,2012,5,1,7.23
26.75,-94.25,2012,5,1,7.23
26.75,-93.75,2012,5,1,7.3
26.75,-93.25,2012,5,1,7.3
26.75,-92.75,2012,5,1,7.48
26.75,-92.25,2012,5,1,7.48
27.25,-96.25,2012,5,1,7.62
27.25,-95.75,2012,5,1,7.48
27.25,-95.25,2012,5,1,7.48
27.25,-94.75,2012,5,1,7.35
27.25,-94.25,2012,5,1,7.35
27.25,-93.75,2012,5,1,7.24
27.25,-93.25,2012,5,1,7.24
27.25,-92.75,2012,5,1,7.58
27.25,-92.25,2012,5,1,7.58
27.75,-96.25,2012,5,1,7.62
27.75,-95.75,2012,5,1,7.48
27.75,-95.25,2012,5,1,7.48
27.75,-94.75,2012,5,1,7.35
27.75,-94.25,2012,5,1,7.35
27.75,-93.75,2012,5,1,7.24
27.75,-93.25,2012,5,1,7.24
27.75,-92.75,2012,5,1,7.58
27.75,-92.25,2012,5,1,7.58
28.25,-96.25,2012,5,1,7.06
28.25,-95.75,2012,5,1,6.81
28.25,-95.25,2012,5,1,6.81
28.25,-94.75,2012,5,1,7.35
28.25,-94.25,2012,5,1,7.35
28.25,-93.75,2012,5,1,7.45
28.25,-93.25,2012,5,1,7.45
28.25,-92.75,2012,5,1,7.44
28.25,-92.25,2012,5,1,7.44
28.75,-96.25,2012,5,1,7.06
28.75,-95.75,2012,5,1,6.81
28.75,-95.25,2012,5,1,6.81
28.75,-94.75,2012,5,1,7.35
28.75,-94.25,2012,5,1,7.35
28.75,-93.75,2012,5,1,7.45
28.75,-93.25,2012,5,1,7.45
28.75,-92.75,2012,5,1,7.44
28.75,-92.25,2012,5,1,7.44
29.25,-96.25,2012,5,1,4.58
29.25,-95.75,2012,5,1,5.09
29.25,-95.25,2012,5,1,5.09
29.25,-94.75,2012,5,1,6.66
29.25,-94.25,2012,5,1,6.66
29.25,-93.75,2012,5,1,7.13
29.25,-93.25,2012,5,1,7.13
29.25,-92.75,2012,5,1,7.2
29.25,-92.25,2012,5,1,7.2
29.75,-96.25,2012,5,1,4.58
29.75,-95.75,2012,5,1,5.09
29.75,-95.25,2012,5,1,5.09
29.75,-94.75,2012,5,1,6.66
29.75,-94.25,2012,5,1,6.66
29.75,-93.75,2012,5,1,7.13
29.75,-93.25,2012,5,1,7.13
29.75,-92.75,2012,5,1,7.2
29.75,-92.25,2012,5,1,7.2
30.25,-96.25,2012,5,1,3.98
30.25,-95.75,2012,5,1,4.49
30.25,-95.25,2012,5,1,4.49
30.25,-94.75,2012,5,1,6.16
30.25,-94.25,2012,5,1,6.16
30.25,-93.75,2012,5,1,6.36
30.25,-93.25,2012,5,1,6.36
30.25,-92.75,2012,5,1,6.55
30.25,-92.25,2012,5,1,6.55
26.25,-96.25,2012,5,2,7.68
26.25,-95.75,2012,5,2,7.7
26.25,-95.25,2012,5,2,7.7
26.25,-94.75,2012,5,2,7.72
26.25,-94.25,2012,5,2,7.72
26.25,-93.75,2012,5,2,7.75
26.25,-93.25,2012,5,2,7.75
26.25,-92.75,2012,5,2,7.72
26.25,-92.25,2012,5,2,7.72
26.75,-96.25,2012,5,2,7.68
26.75,-95.75,2012,5,2,7.7
26.75,-95.25,2012,5,2,7.7
26.75,-94.75,2012,5,2,7.72
26.75,-94.25,2012,5,2,7.72
26.75,-93.75,2012,5,2,7.75
26.75,-93.25,2012,5,2,7.75
26.75,-92.75,2012,5,2,7.72
26.75,-92.25,2012,5,2,7.72
27.25,-96.25,2012,5,2,7.68
27.25,-95.75,2012,5,2,7.66
27.25,-95.25,2012,5,2,7.66
27.25,-94.75,2012,5,2,7.69
27.25,-94.25,2012,5,2,7.69
27.25,-93.75,2012,5,2,7.71
27.25,-93.25,2012,5,2,7.71
27.25,-92.75,2012,5,2,7.69
27.25,-92.25,2012,5,2,7.69
27.75,-96.25,2012,5,2,7.68
27.75,-95.75,2012,5,2,7.66
27.75,-95.25,2012,5,2,7.66
27.75,-94.75,2012,5,2,7.69
27.75,-94.25,2012,5,2,7.69
27.75,-93.75,2012,5,2,7.71
27.75,-93.25,2012,5,2,7.71
27.75,-92.75,2012,5,2,7.69
27.75,-92.25,2012,5,2,7.69
28.25,-96.25,2012,5,2,7.39
28.25,-95.75,2012,5,2,7.48
28.25,-95.25,2012,5,2,7.48
28.25,-94.75,2012,5,2,7.71
28.25,-94.25,2012,5,2,7.71
28.25,-93.75,2012,5,2,7.73
28.25,-93.25,2012,5,2,7.73
28.25,-92.75,2012,5,2,7.6
28.25,-92.25,2012,5,2,7.6
28.75,-96.25,2012,5,2,7.39
28.75,-95.75,2012,5,2,7.48
28.75,-95.25,2012,5,2,7.48
28.75,-94.75,2012,5,2,7.71
28.75,-94.25,2012,5,2,7.71
28.75,-93.75,2012,5,2,7.73
28.75,-93.25,2012,5,2,7.73
28.75,-92.75,2012,5,2,7.6
28.75,-92.25,2012,5,2,7.6
29.25,-96.25,2012,5,2,6.17
29.25,-95.75,2012,5,2,6.47
29.25,-95.25,2012,5,2,6.47
29.25,-94.75,2012,5,2,7.25
29.25,-94.25,2012,5,2,7.25
29.25,-93.75,2012,5,2,7.4
29.25,-93.25,2012,5,2,7.4
29.25,-92.75,2012,5,2,6.27
29.25,-92.25,2012,5,2,6.27
29.75,-96.25,2012,5,2,6.17
29.75,-95.75,2012,5,2,6.47
29.75,-95.25,2012,5,2,6.47
29.75,-94.75,2012,5,2,7.25
29.75,-94.25,2012,5,2,7.25
29.75,-93.75,2012,5,2,7.4
