-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-104.25,2012,05,01,              4.00
38.25,-103.75,2012,05,01,              4.45
38.25,-103.25,2012,05,01,              4.45
38.25,-102.75,2012,05,01,              5.03
38.25,-102.25,2012,05,01,              5.03
38.25,-101.75,2012,05,01,              6.38
38.25,-101.25,2012,05,01,              6.38
38.25,-100.75,2012,05,01,              7.19
38.25,-100.25,2012,05,01,              7.19
38.75,-104.25,2012,05,01,              4.00
38.75,-103.75,2012,05,01,              4.45
38.75,-103.25,2012,05,01,              4.45
38.75,-102.75,2012,05,01,              5.03
38.75,-102.25,2012,05,01,              5.03
38.75,-101.75,2012,05,01,              6.38
38.75,-101.25,2012,05,01,              6.38
38.75,-100.75,2012,05,01,              7.19
38.75,-100.25,2012,05,01,              7.19
39.25,-104.25,2012,05,01,              4.48
39.25,-103.75,2012,05,01,              3.39
39.25,-103.25,2012,05,01,              3.39
39.25,-102.75,2012,05,01,              4.82
39.25,-102.25,2012,05,01,              4.82
39.25,-101.75,2012,05,01,              5.11
39.25,-101.25,2012,05,01,              5.11
39.25,-100.75,2012,05,01,              6.34
39.25,-100.25,2012,05,01,              6.34
39.75,-104.25,2012,05,01,              4.48
39.75,-103.75,2012,05,01,              3.39
39.75,-103.25,2012,05,01,              3.39
39.75,-102.75,2012,05,01,              4.82
39.75,-102.25,2012,05,01,              4.82
39.75,-101.75,2012,05,01,              5.11
39.75,-101.25,2012,05,01,              5.11
39.75,-100.75,2012,05,01,              6.34
39.75,-100.25,2012,05,01,              6.34
40.25,-104.25,2012,05,01,              4.38
40.25,-103.75,2012,05,01,              4.11
40.25,-103.25,2012,05,01,              4.11
40.25,-102.75,2012,05,01,              5.19
40.25,-102.25,2012,05,01,              5.19
40.25,-101.75,2012,05,01,              5.52
40.25,-101.25,2012,05,01,              5.52
40.25,-100.75,2012,05,01,              4.83
40.25,-100.25,2012,05,01,              4.83
40.75,-104.25,2012,05,01,              4.38
40.75,-103.75,2012,05,01,              4.11
40.75,-103.25,2012,05,01,              4.11
40.75,-102.75,2012,05,01,              5.19
40.75,-102.25,2012,05,01,              5.19
40.75,-101.75,2012,05,01,              5.52
40.75,-101.25,2012,05,01,              5.52
40.75,-100.75,2012,05,01,              4.83
40.75,-100.25,2012,05,01,              4.83
41.25,-104.25,2012,05,01,              4.73
41.25,-103.75,2012,05,01,              3.81
41.25,-103.25,2012,05,01,              3.81
41.25,-102.75,2012,05,01,              4.66
41.25,-102.25,2012,05,01,              4.66
41.25,-101.75,2012,05,01,              4.95
41.25,-101.25,2012,05,01,              4.95
41.25,-100.75,2012,05,01,              5.49
41.25,-100.25,2012,05,01,              5.49
41.75,-104.25,2012,05,01,              4.73
41.75,-103.75,2012,05,01,              3.81
41.75,-103.25,2012,05,01,              3.81
41.75,-102.75,2012,05,01,              4.66
41.75,-102.25,2012,05,01,              4.66
41.75,-101.75,2012,05,01,              4.95
41.75,-101.25,2012,05,01,              4.95
41.75,-100.75,2012,05,01,              5.49
41.75,-100.25,2012,05,01,              5.49
42.25,-104.25,2012,05,01,              4.77
42.25,-103.75,2012,05,01,              4.62
42.25,-103.25,2012,05,01,              4.62
42.25,-102.75,2012,05,01,              4.47
42.25,-102.25,2012,05,01,              4.47
42.25,-101.75,2012,05,01,              5.41
42.25,-101.25,2012,05,01,              5.41
42.25,-100.75,2012,05,01,              5.45
42.25,-100.25,2012,05,01,              5.45
38.25,-104.25,2012,05,02,              6.16
38.25,-103.75,2012,05,02,              7.15
38.25,-103.25,2012,05,02,              7.15
38.25,-102.75,2012,05,02,              7.44
38.25,-102.25,2012,05,02,              7.44
38.25,-101.75,2012,05,02,              7.45
