-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-100.25,2012,05,01,              5.45
42.25,-99.75,2012,05,01,              5.58
42.25,-99.25,2012,05,01,              5.58
42.25,-98.75,2012,05,01,              6.51
42.25,-98.25,2012,05,01,              6.51
42.25,-97.75,2012,05,01,              6.39
42.25,-97.25,2012,05,01,              6.39
42.25,-96.75,2012,05,01,              6.57
42.25,-96.25,2012,05,01,              6.57
42.75,-100.25,2012,05,01,              5.45
42.75,-99.75,2012,05,01,              5.58
42.75,-99.25,2012,05,01,              5.58
42.75,-98.75,2012,05,01,              6.51
42.75,-98.25,2012,05,01,              6.51
42.75,-97.75,2012,05,01,              6.39
42.75,-97.25,2012,05,01,              6.39
42.75,-96.75,2012,05,01,              6.57
42.75,-96.25,2012,05,01,              6.57
43.25,-100.25,2012,05,01,              4.37
43.25,-99.75,2012,05,01,              4.66
43.25,-99.25,2012,05,01,              4.66
43.25,-98.75,2012,05,01,              5.85
43.25,-98.25,2012,05,01,              5.85
43.25,-97.75,2012,05,01,              6.24
43.25,-97.25,2012,05,01,              6.24
43.25,-96.75,2012,05,01,              6.66
43.25,-96.25,2012,05,01,              6.66
43.75,-100.25,2012,05,01,              4.37
43.75,-99.75,2012,05,01,              4.66
43.75,-99.25,2012,05,01,              4.66
43.75,-98.75,2012,05,01,              5.85
43.75,-98.25,2012,05,01,              5.85
43.75,-97.75,2012,05,01,              6.24
43.75,-97.25,2012,05,01,              6.24
43.75,-96.75,2012,05,01,              6.66
43.75,-96.25,2012,05,01,              6.66
44.25,-100.25,2012,05,01,              5.18
44.25,-99.75,2012,05,01,              4.66
44.25,-99.25,2012,05,01,              4.66
44.25,-98.75,2012,05,01,              4.61
44.25,-98.25,2012,05,01,              4.61
44.25,-97.75,2012,05,01,              5.63
44.25,-97.25,2012,05,01,              5.63
44.25,-96.75,2012,05,01,              6.02
44.25,-96.25,2012,05,01,              6.02
44.75,-100.25,2012,05,01,              5.18
44.75,-99.75,2012,05,01,              4.66
44.75,-99.25,2012,05,01,              4.66
44.75,-98.75,2012,05,01,              4.61
44.75,-98.25,2012,05,01,              4.61
44.75,-97.75,2012,05,01,              5.63
44.75,-97.25,2012,05,01,              5.63
44.75,-96.75,2012,05,01,              6.02
44.75,-96.25,2012,05,01,              6.02
45.25,-100.25,2012,05,01,              4.88
45.25,-99.75,2012,05,01,              5.08
45.25,-99.25,2012,05,01,              5.08
45.25,-98.75,2012,05,01,              5.08
45.25,-98.25,2012,05,01,              5.08
45.25,-97.75,2012,05,01,              4.42
45.25,-97.25,2012,05,01,              4.42
45.25,-96.75,2012,05,01,              4.42
45.25,-96.25,2012,05,01,              4.42
45.75,-100.25,2012,05,01,              4.88
45.75,-99.75,2012,05,01,              5.08
45.75,-99.25,2012,05,01,              5.08
45.75,-98.75,2012,05,01,              5.08
45.75,-98.25,2012,05,01,              5.08
45.75,-97.75,2012,05,01,              4.42
45.75,-97.25,2012,05,01,              4.42
45.75,-96.75,2012,05,01,              4.42
45.75,-96.25,2012,05,01,              4.42
46.25,-100.25,2012,05,01,              5.08
46.25,-99.75,2012,05,01,              4.77
46.25,-99.25,2012,05,01,              4.77
46.25,-98.75,2012,05,01,              4.77
46.25,-98.25,2012,05,01,              4.77
46.25,-97.75,2012,05,01,              4.40
46.25,-97.25,2012,05,01,              4.40
46.25,-96.75,2012,05,01,              4.40
46.25,-96.25,2012,05,01,              4.40
42.25,-100.25,2012,05,02,              6.04
42.25,-99.75,2012,05,02,              6.78
42.25,-99.25,2012,05,02,              6.78
42.25,-98.75,2012,05,02,              7.01
42.25,-98.25,2012,05,02,              7.01
42.25,-97.75,2012,05,02,              6.74
42.25,-97.25,2012,05,02,              6.74
42.25,-96.75,2012,05,02,              5.39
42.25,-96.25,2012,05,02,              5.39
42.75,-100.25,2012,05,02,              6.04
42.75,-99.75,2012,05,02,              6.78
42.75,-99.25,2012,05,02,              6.78
42.75,-98.75,2012,05,02,              7.01
42.75,-98.25,2012,05,02,              7.01
42.75,-97.75,2012,05,02,              6.74
42.75,-97.25,2012,05,02,              6.74
42.75,-96.75,2012,05,02,              5.39
42.75,-96.25,2012,05,02,              5.39
43.25,-100.25,2012,05,02,              5.21
43.25,-99.75,2012,05,02,              5.12
43.25,-99.25,2012,05,02,              5.12
43.25,-98.75,2012,05,02,              5.99
43.25,-98.25,2012,05,02,              5.99
43.25,-97.75,2012,05,02,              6.37
43.25,-97.25,2012,05,02,              6.37
43.25,-96.75,2012,05,02,              6.65
