-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-124.25,2012,05,01,              4.91
30.25,-123.75,2012,05,01,              4.63
30.25,-123.25,2012,05,01,              4.63
30.25,-122.75,2012,05,01,              4.64
30.25,-122.25,2012,05,01,              4.64
30.25,-121.75,2012,05,01,              4.12
30.25,-121.25,2012,05,01,              4.12
30.25,-120.75,2012,05,01,              3.99
30.25,-120.25,2012,05,01,              3.99
30.75,-124.25,2012,05,01,              4.91
30.75,-123.75,2012,05,01,              4.63
30.75,-123.25,2012,05,01,              4.63
30.75,-122.75,2012,05,01,              4.64
30.75,-122.25,2012,05,01,              4.64
30.75,-121.75,2012,05,01,              4.12
30.75,-121.25,2012,05,01,              4.12
30.75,-120.75,2012,05,01,              3.99
30.75,-120.25,2012,05,01,              3.99
31.25,-124.25,2012,05,01,              4.42
31.25,-123.75,2012,05,01,              4.51
31.25,-123.25,2012,05,01,              4.51
31.25,-122.75,2012,05,01,              4.19
31.25,-122.25,2012,05,01,              4.19
31.25,-121.75,2012,05,01,              3.88
31.25,-121.25,2012,05,01,              3.88
31.25,-120.75,2012,05,01,              3.69
31.25,-120.25,2012,05,01,              3.69
31.75,-124.25,2012,05,01,              4.42
31.75,-123.75,2012,05,01,              4.51
31.75,-123.25,2012,05,01,              4.51
31.75,-122.75,2012,05,01,              4.19
31.75,-122.25,2012,05,01,              4.19
31.75,-121.75,2012,05,01,              3.88
31.75,-121.25,2012,05,01,              3.88
31.75,-120.75,2012,05,01,              3.69
31.75,-120.25,2012,05,01,              3.69
32.25,-124.25,2012,05,01,              4.64
32.25,-123.75,2012,05,01,              4.36
32.25,-123.25,2012,05,01,              4.36
32.25,-122.75,2012,05,01,              4.02
32.25,-122.25,2012,05,01,              4.02
32.25,-121.75,2012,05,01,              4.29
32.25,-121.25,2012,05,01,              4.29
32.25,-120.75,2012,05,01,              4.11
32.25,-120.25,2012,05,01,              4.11
32.75,-124.25,2012,05,01,              4.64
32.75,-123.75,2012,05,01,              4.36
32.75,-123.25,2012,05,01,              4.36
32.75,-122.75,2012,05,01,              4.02
32.75,-122.25,2012,05,01,              4.02
32.75,-121.75,2012,05,01,              4.29
32.75,-121.25,2012,05,01,              4.29
32.75,-120.75,2012,05,01,              4.11
32.75,-120.25,2012,05,01,              4.11
33.25,-124.25,2012,05,01,              5.31
33.25,-123.75,2012,05,01,              5.69
33.25,-123.25,2012,05,01,              5.69
33.25,-122.75,2012,05,01,              4.89
33.25,-122.25,2012,05,01,              4.89
33.25,-121.75,2012,05,01,              4.66
33.25,-121.25,2012,05,01,              4.66
33.25,-120.75,2012,05,01,              3.96
33.25,-120.25,2012,05,01,              3.96
33.75,-124.25,2012,05,01,              5.31
33.75,-123.75,2012,05,01,              5.69
33.75,-123.25,2012,05,01,              5.69
33.75,-122.75,2012,05,01,              4.89
33.75,-122.25,2012,05,01,              4.89
33.75,-121.75,2012,05,01,              4.66
33.75,-121.25,2012,05,01,              4.66
33.75,-120.75,2012,05,01,              3.96
33.75,-120.25,2012,05,01,              3.96
34.25,-124.25,2012,05,01,              6.12
34.25,-123.75,2012,05,01,              6.75
34.25,-123.25,2012,05,01,              6.75
34.25,-122.75,2012,05,01,              6.75
34.25,-122.25,2012,05,01,              6.75
34.25,-121.75,2012,05,01,              5.90
34.25,-121.25,2012,05,01,              5.90
34.25,-120.75,2012,05,01,              5.50
34.25,-120.25,2012,05,01,              5.50
30.25,-124.25,2012,05,02,              5.17
30.25,-123.75,2012,05,02,              4.83
30.25,-123.25,2012,05,02,              4.83
30.25,-122.75,2012,05,02,              5.07
30.25,-122.25,2012,05,02,              5.07
