-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-108.25,2012,05,01,              4.95
38.25,-107.75,2012,05,01,              5.04
38.25,-107.25,2012,05,01,              5.04
38.25,-106.75,2012,05,01,              6.04
38.25,-106.25,2012,05,01,              6.04
38.25,-105.75,2012,05,01,              6.11
38.25,-105.25,2012,05,01,              6.11
38.25,-104.75,2012,05,01,              4.00
38.25,-104.25,2012,05,01,              4.00
38.75,-108.25,2012,05,01,              4.95
38.75,-107.75,2012,05,01,              5.04
38.75,-107.25,2012,05,01,              5.04
38.75,-106.75,2012,05,01,              6.04
38.75,-106.25,2012,05,01,              6.04
38.75,-105.75,2012,05,01,              6.11
38.75,-105.25,2012,05,01,              6.11
38.75,-104.75,2012,05,01,              4.00
38.75,-104.25,2012,05,01,              4.00
39.25,-108.25,2012,05,01,              4.86
39.25,-107.75,2012,05,01,              4.59
39.25,-107.25,2012,05,01,              4.59
39.25,-106.75,2012,05,01,              5.44
39.25,-106.25,2012,05,01,              5.44
39.25,-105.75,2012,05,01,              6.29
39.25,-105.25,2012,05,01,              6.29
39.25,-104.75,2012,05,01,              4.48
39.25,-104.25,2012,05,01,              4.48
39.75,-108.25,2012,05,01,              4.86
39.75,-107.75,2012,05,01,              4.59
39.75,-107.25,2012,05,01,              4.59
39.75,-106.75,2012,05,01,              5.44
39.75,-106.25,2012,05,01,              5.44
39.75,-105.75,2012,05,01,              6.29
39.75,-105.25,2012,05,01,              6.29
39.75,-104.75,2012,05,01,              4.48
39.75,-104.25,2012,05,01,              4.48
40.25,-108.25,2012,05,01,              3.73
40.25,-107.75,2012,05,01,              3.73
40.25,-107.25,2012,05,01,              3.73
40.25,-106.75,2012,05,01,              4.30
40.25,-106.25,2012,05,01,              4.30
40.25,-105.75,2012,05,01,              5.11
40.25,-105.25,2012,05,01,              5.11
40.25,-104.75,2012,05,01,              4.38
40.25,-104.25,2012,05,01,              4.38
40.75,-108.25,2012,05,01,              3.73
40.75,-107.75,2012,05,01,              3.73
40.75,-107.25,2012,05,01,              3.73
40.75,-106.75,2012,05,01,              4.30
40.75,-106.25,2012,05,01,              4.30
40.75,-105.75,2012,05,01,              5.11
40.75,-105.25,2012,05,01,              5.11
40.75,-104.75,2012,05,01,              4.38
40.75,-104.25,2012,05,01,              4.38
41.25,-108.25,2012,05,01,              4.66
41.25,-107.75,2012,05,01,              3.57
41.25,-107.25,2012,05,01,              3.57
41.25,-106.75,2012,05,01,              3.81
41.25,-106.25,2012,05,01,              3.81
41.25,-105.75,2012,05,01,              4.95
41.25,-105.25,2012,05,01,              4.95
41.25,-104.75,2012,05,01,              4.73
41.25,-104.25,2012,05,01,              4.73
41.75,-108.25,2012,05,01,              4.66
41.75,-107.75,2012,05,01,              3.57
41.75,-107.25,2012,05,01,              3.57
41.75,-106.75,2012,05,01,              3.81
41.75,-106.25,2012,05,01,              3.81
41.75,-105.75,2012,05,01,              4.95
41.75,-105.25,2012,05,01,              4.95
41.75,-104.75,2012,05,01,              4.73
41.75,-104.25,2012,05,01,              4.73
42.25,-108.25,2012,05,01,              7.28
42.25,-107.75,2012,05,01,              6.42
42.25,-107.25,2012,05,01,              6.42
42.25,-106.75,2012,05,01,              5.11
42.25,-106.25,2012,05,01,              5.11
42.25,-105.75,2012,05,01,              5.35
42.25,-105.25,2012,05,01,              5.35
42.25,-104.75,2012,05,01,              4.77
42.25,-104.25,2012,05,01,              4.77
38.25,-108.25,2012,05,02,              4.88
38.25,-107.75,2012,05,02,              5.36
38.25,-107.25,2012,05,02,              5.36
38.25,-106.75,2012,05,02,              6.02
38.25,-106.25,2012,05,02,              6.02
38.25,-105.75,2012,05,02,              6.33
38.25,-105.25,2012,05,02,              6.33
38.25,-104.75,2012,05,02,              6.16
38.25,-104.25,2012,05,02,              6.16
38.75,-108.25,2012,05,02,              4.88
38.75,-107.75,2012,05,02,              5.36
38.75,-107.25,2012,05,02,              5.36
38.75,-106.75,2012,05,02,              6.02
38.75,-106.25,2012,05,02,              6.02
38.75,-105.75,2012,05,02,              6.33
38.75,-105.25,2012,05,02,              6.33
38.75,-104.75,2012,05,02,              6.16
38.75,-104.25,2012,05,02,              6.16
39.25,-108.25,2012,05,02,              4.09
39.25,-107.75,2012,05,02,              3.91
39.25,-107.25,2012,05,02,              3.91
39.25,-106.75,2012,05,02,              5.71
39.25,-106.25,2012,05,02,              5.71
39.25,-105.75,2012,05,02,              5.93
39.25,-105.25,2012,05,02,              5.93
39.25,-104.75,2012,05,02,              6.66
39.25,-104.25,2012,05,02,              6.66
39.75,-108.25,2012,05,02,              4.09
39.75,-107.75,2012,05,02,              3.91
39.75,-107.25,2012,05,02,              3.91
39.75,-106.75,2012,05,02,              5.71
39.75,-106.25,2012,05,02,              5.71
39.75,-105.75,2012,05,02,              5.93
39.75,-105.25,2012,05,02,              5.93
39.75,-104.75,2012,05,02,              6.66
39.75,-104.25,2012,05,02,              6.66
40.25,-108.25,2012,05,02,              5.13
40.25,-107.75,2012,05,02,              4.41
40.25,-107.25,2012,05,02,              4.41
40.25,-106.75,2012,05,02,              4.18
40.25,-106.25,2012,05,02,              4.18
40.25,-105.75,2012,05,02,              4.53
40.25,-105.25,2012,05,02,              4.53
40.25,-104.75,2012,05,02,              5.62
40.25,-104.25,2012,05,02,              5.62
40.75,-108.25,2012,05,02,              5.13
40.75,-107.75,2012,05,02,              4.41
40.75,-107.25,2012,05,02,              4.41
40.75,-106.75,2012,05,02,              4.18
40.75,-106.25,2012,05,02,              4.18
40.75,-105.75,2012,05,02,              4.53
40.75,-105.25,2012,05,02,              4.53
40.75,-104.75,2012,05,02,              5.62
40.75,-104.25,2012,05,02,              5.62
41.25,-108.25,2012,05,02,              6.03
41.25,-107.75,2012,05,02,              4.49
41.25,-107.25,2012,05,02,              4.49
41.25,-106.75,2012,05,02,              4.17
41.25,-106.25,2012,05,02,              4.17
41.25,-105.75,2012,05,02,              4.72
41.25,-105.25,2012,05,02,              4.72
41.25,-104.75,2012,05,02,              4.45
41.25,-104.25,2012,05,02,              4.45
41.75,-108.25,2012,05,02,              6.03
41.75,-107.75,2012,05,02,              4.49
41.75,-107.25,2012,05,02,              4.49
41.75,-106.75,2012,05,02,              4.17
41.75,-106.25,2012,05,02,              4.17
41.75,-105.75,2012,05,02,              4.72
41.75,-105.25,2012,05,02,              4.72
41.75,-104.75,2012,05,02,              4.45
41.75,-104.25,2012,05,02,              4.45
42.25,-108.25,2012,05,02,              7.49
42.25,-107.75,2012,05,02,              7.24
42.25,-107.25,2012,05,02,              7.24
42.25,-106.75,2012,05,02,              6.16
42.25,-106.25,2012,05,02,              6.16
42.25,-105.75,2012,05,02,              5.19
42.25,-105.25,2012,05,02,              5.19
42.25,-104.75,2012,05,02,              5.13
42.25,-104.25,2012,05,02,              5.13
38.25,-108.25,2012,05,03,              7.52
38.25,-107.75,2012,05,03,              7.33
38.25,-107.25,2012,05,03,              7.33
38.25,-106.75,2012,05,03,              7.03
38.25,-106.25,2012,05,03,              7.03
38.25,-105.75,2012,05,03,              7.34
38.25,-105.25,2012,05,03,              7.34
38.25,-104.75,2012,05,03,              7.75
38.25,-104.25,2012,05,03,              7.75
38.75,-108.25,2012,05,03,              7.52
38.75,-107.75,2012,05,03,              7.33
38.75,-107.25,2012,05,03,              7.33
38.75,-106.75,2012,05,03,              7.03
38.75,-106.25,2012,05,03,              7.03
38.75,-105.75,2012,05,03,              7.34
38.75,-105.25,2012,05,03,              7.34
38.75,-104.75,2012,05,03,              7.75
38.75,-104.25,2012,05,03,              7.75
39.25,-108.25,2012,05,03,              7.11
39.25,-107.75,2012,05,03,              7.05
39.25,-107.25,2012,05,03,              7.05
39.25,-106.75,2012,05,03,              7.62
39.25,-106.25,2012,05,03,              7.62
39.25,-105.75,2012,05,03,              7.11
39.25,-105.25,2012,05,03,              7.11
