-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-112.25,2012,05,01,              6.99
42.25,-111.75,2012,05,01,              6.26
42.25,-111.25,2012,05,01,              6.26
42.25,-110.75,2012,05,01,              6.56
42.25,-110.25,2012,05,01,              6.56
42.25,-109.75,2012,05,01,              6.39
42.25,-109.25,2012,05,01,              6.39
42.25,-108.75,2012,05,01,              7.28
42.25,-108.25,2012,05,01,              7.28
42.75,-112.25,2012,05,01,              6.99
42.75,-111.75,2012,05,01,              6.26
42.75,-111.25,2012,05,01,              6.26
42.75,-110.75,2012,05,01,              6.56
42.75,-110.25,2012,05,01,              6.56
42.75,-109.75,2012,05,01,              6.39
42.75,-109.25,2012,05,01,              6.39
42.75,-108.75,2012,05,01,              7.28
42.75,-108.25,2012,05,01,              7.28
43.25,-112.25,2012,05,01,              7.31
43.25,-111.75,2012,05,01,              6.93
43.25,-111.25,2012,05,01,              6.93
43.25,-110.75,2012,05,01,              6.67
43.25,-110.25,2012,05,01,              6.67
43.25,-109.75,2012,05,01,              8.13
43.25,-109.25,2012,05,01,              8.13
43.25,-108.75,2012,05,01,              7.60
43.25,-108.25,2012,05,01,              7.60
43.75,-112.25,2012,05,01,              7.31
43.75,-111.75,2012,05,01,              6.93
43.75,-111.25,2012,05,01,              6.93
43.75,-110.75,2012,05,01,              6.67
43.75,-110.25,2012,05,01,              6.67
43.75,-109.75,2012,05,01,              8.13
43.75,-109.25,2012,05,01,              8.13
43.75,-108.75,2012,05,01,              7.60
43.75,-108.25,2012,05,01,              7.60
44.25,-112.25,2012,05,01,              6.97
44.25,-111.75,2012,05,01,              4.93
44.25,-111.25,2012,05,01,              4.93
44.25,-110.75,2012,05,01,              4.28
44.25,-110.25,2012,05,01,              4.28
44.25,-109.75,2012,05,01,              5.72
44.25,-109.25,2012,05,01,              5.72
44.25,-108.75,2012,05,01,              6.26
44.25,-108.25,2012,05,01,              6.26
44.75,-112.25,2012,05,01,              6.97
44.75,-111.75,2012,05,01,              4.93
44.75,-111.25,2012,05,01,              4.93
44.75,-110.75,2012,05,01,              4.28
44.75,-110.25,2012,05,01,              4.28
44.75,-109.75,2012,05,01,              5.72
44.75,-109.25,2012,05,01,              5.72
44.75,-108.75,2012,05,01,              6.26
44.75,-108.25,2012,05,01,              6.26
45.25,-112.25,2012,05,01,              6.16
45.25,-111.75,2012,05,01,              5.79
45.25,-111.25,2012,05,01,              5.79
45.25,-110.75,2012,05,01,              5.79
