-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-120.25,2012,05,01,              4.95
26.25,-119.75,2012,05,01,              5.33
26.25,-119.25,2012,05,01,              5.33
26.25,-118.75,2012,05,01,              7.06
26.25,-118.25,2012,05,01,              7.06
26.25,-117.75,2012,05,01,              7.25
26.25,-117.25,2012,05,01,              7.25
26.25,-116.75,2012,05,01,              6.81
26.25,-116.25,2012,05,01,              6.81
26.75,-120.25,2012,05,01,              4.95
26.75,-119.75,2012,05,01,              5.33
26.75,-119.25,2012,05,01,              5.33
26.75,-118.75,2012,05,01,              7.06
26.75,-118.25,2012,05,01,              7.06
26.75,-117.75,2012,05,01,              7.25
26.75,-117.25,2012,05,01,              7.25
26.75,-116.75,2012,05,01,              6.81
26.75,-116.25,2012,05,01,              6.81
27.25,-120.25,2012,05,01,              4.44
27.25,-119.75,2012,05,01,              4.89
27.25,-119.25,2012,05,01,              4.89
27.25,-118.75,2012,05,01,              5.25
27.25,-118.25,2012,05,01,              5.25
27.25,-117.75,2012,05,01,              5.91
27.25,-117.25,2012,05,01,              5.91
27.25,-116.75,2012,05,01,              5.74
27.25,-116.25,2012,05,01,              5.74
27.75,-120.25,2012,05,01,              4.44
27.75,-119.75,2012,05,01,              4.89
27.75,-119.25,2012,05,01,              4.89
27.75,-118.75,2012,05,01,              5.25
27.75,-118.25,2012,05,01,              5.25
27.75,-117.75,2012,05,01,              5.91
27.75,-117.25,2012,05,01,              5.91
27.75,-116.75,2012,05,01,              5.74
27.75,-116.25,2012,05,01,              5.74
28.25,-120.25,2012,05,01,              4.61
28.25,-119.75,2012,05,01,              5.09
28.25,-119.25,2012,05,01,              5.09
28.25,-118.75,2012,05,01,              4.95
28.25,-118.25,2012,05,01,              4.95
28.25,-117.75,2012,05,01,              4.63
28.25,-117.25,2012,05,01,              4.63
28.25,-116.75,2012,05,01,              4.14
28.25,-116.25,2012,05,01,              4.14
28.75,-120.25,2012,05,01,              4.61
28.75,-119.75,2012,05,01,              5.09
28.75,-119.25,2012,05,01,              5.09
28.75,-118.75,2012,05,01,              4.95
28.75,-118.25,2012,05,01,              4.95
28.75,-117.75,2012,05,01,              4.63
28.75,-117.25,2012,05,01,              4.63
28.75,-116.75,2012,05,01,              4.14
28.75,-116.25,2012,05,01,              4.14
29.25,-120.25,2012,05,01,              3.59
29.25,-119.75,2012,05,01,              4.03
29.25,-119.25,2012,05,01,              4.03
29.25,-118.75,2012,05,01,              4.59
29.25,-118.25,2012,05,01,              4.59
29.25,-117.75,2012,05,01,              3.88
29.25,-117.25,2012,05,01,              3.88
29.25,-116.75,2012,05,01,              3.60
29.25,-116.25,2012,05,01,              3.60
29.75,-120.25,2012,05,01,              3.59
29.75,-119.75,2012,05,01,              4.03
29.75,-119.25,2012,05,01,              4.03
29.75,-118.75,2012,05,01,              4.59
29.75,-118.25,2012,05,01,              4.59
29.75,-117.75,2012,05,01,              3.88
29.75,-117.25,2012,05,01,              3.88
29.75,-116.75,2012,05,01,              3.60
29.75,-116.25,2012,05,01,              3.60
30.25,-120.25,2012,05,01,              3.99
30.25,-119.75,2012,05,01,              3.48
30.25,-119.25,2012,05,01,              3.48
30.25,-118.75,2012,05,01,              3.83
30.25,-118.25,2012,05,01,              3.83
30.25,-117.75,2012,05,01,              4.46
30.25,-117.25,2012,05,01,              4.46
30.25,-116.75,2012,05,01,              4.07
30.25,-116.25,2012,05,01,              4.07
26.25,-120.25,2012,05,02,              5.89
26.25,-119.75,2012,05,02,              5.53
26.25,-119.25,2012,05,02,              5.53
26.25,-118.75,2012,05,02,              4.92
26.25,-118.25,2012,05,02,              4.92
26.25,-117.75,2012,05,02,              5.18
26.25,-117.25,2012,05,02,              5.18
26.25,-116.75,2012,05,02,              5.37
26.25,-116.25,2012,05,02,              5.37
26.75,-120.25,2012,05,02,              5.89
26.75,-119.75,2012,05,02,              5.53
26.75,-119.25,2012,05,02,              5.53
26.75,-118.75,2012,05,02,              4.92
26.75,-118.25,2012,05,02,              4.92
26.75,-117.75,2012,05,02,              5.18
26.75,-117.25,2012,05,02,              5.18
26.75,-116.75,2012,05,02,              5.37
26.75,-116.25,2012,05,02,              5.37
27.25,-120.25,2012,05,02,              4.97
27.25,-119.75,2012,05,02,              5.35
27.25,-119.25,2012,05,02,              5.35
27.25,-118.75,2012,05,02,              5.24
27.25,-118.25,2012,05,02,              5.24
27.25,-117.75,2012,05,02,              4.59
27.25,-117.25,2012,05,02,              4.59
27.25,-116.75,2012,05,02,              4.35
27.25,-116.25,2012,05,02,              4.35
27.75,-120.25,2012,05,02,              4.97
27.75,-119.75,2012,05,02,              5.35
27.75,-119.25,2012,05,02,              5.35
27.75,-118.75,2012,05,02,              5.24
27.75,-118.25,2012,05,02,              5.24
27.75,-117.75,2012,05,02,              4.59
27.75,-117.25,2012,05,02,              4.59
27.75,-116.75,2012,05,02,              4.35
27.75,-116.25,2012,05,02,              4.35
28.25,-120.25,2012,05,02,              4.71
28.25,-119.75,2012,05,02,              4.64
28.25,-119.25,2012,05,02,              4.64
28.25,-118.75,2012,05,02,              4.86
28.25,-118.25,2012,05,02,              4.86
28.25,-117.75,2012,05,02,              4.11
28.25,-117.25,2012,05,02,              4.11
28.25,-116.75,2012,05,02,              3.89
28.25,-116.25,2012,05,02,              3.89
28.75,-120.25,2012,05,02,              4.71
28.75,-119.75,2012,05,02,              4.64
28.75,-119.25,2012,05,02,              4.64
28.75,-118.75,2012,05,02,              4.86
28.75,-118.25,2012,05,02,              4.86
28.75,-117.75,2012,05,02,              4.11
28.75,-117.25,2012,05,02,              4.11
28.75,-116.75,2012,05,02,              3.89
28.75,-116.25,2012,05,02,              3.89
29.25,-120.25,2012,05,02,              4.51
29.25,-119.75,2012,05,02,              4.52
29.25,-119.25,2012,05,02,              4.52
29.25,-118.75,2012,05,02,              4.50
29.25,-118.25,2012,05,02,              4.50
29.25,-117.75,2012,05,02,              4.33
29.25,-117.25,2012,05,02,              4.33
29.25,-116.75,2012,05,02,              5.05
29.25,-116.25,2012,05,02,              5.05
29.75,-120.25,2012,05,02,              4.51
29.75,-119.75,2012,05,02,              4.52
29.75,-119.25,2012,05,02,              4.52
29.75,-118.75,2012,05,02,              4.50
29.75,-118.25,2012,05,02,              4.50
29.75,-117.75,2012,05,02,              4.33
29.75,-117.25,2012,05,02,              4.33
29.75,-116.75,2012,05,02,              5.05
29.75,-116.25,2012,05,02,              5.05
30.25,-120.25,2012,05,02,              5.04
30.25,-119.75,2012,05,02,              4.59
30.25,-119.25,2012,05,02,              4.59
30.25,-118.75,2012,05,02,              4.75
30.25,-118.25,2012,05,02,              4.75
30.25,-117.75,2012,05,02,              4.17
30.25,-117.25,2012,05,02,              4.17
30.25,-116.75,2012,05,02,              5.69
30.25,-116.25,2012,05,02,              5.69
26.25,-120.25,2012,05,03,              5.00
26.25,-119.75,2012,05,03,              5.43
26.25,-119.25,2012,05,03,              5.43
26.25,-118.75,2012,05,03,              5.69
26.25,-118.25,2012,05,03,              5.69
26.25,-117.75,2012,05,03,              6.02
26.25,-117.25,2012,05,03,              6.02
26.25,-116.75,2012,05,03,              6.51
26.25,-116.25,2012,05,03,              6.51
26.75,-120.25,2012,05,03,              5.00
26.75,-119.75,2012,05,03,              5.43
26.75,-119.25,2012,05,03,              5.43
26.75,-118.75,2012,05,03,              5.69
26.75,-118.25,2012,05,03,              5.69
26.75,-117.75,2012,05,03,              6.02
26.75,-117.25,2012,05,03,              6.02
26.75,-116.75,2012,05,03,              6.51
26.75,-116.25,2012,05,03,              6.51
27.25,-120.25,2012,05,03,              4.91
27.25,-119.75,2012,05,03,              5.29
27.25,-119.25,2012,05,03,              5.29
27.25,-118.75,2012,05,03,              5.88
27.25,-118.25,2012,05,03,              5.88
27.25,-117.75,2012,05,03,              6.38
27.25,-117.25,2012,05,03,              6.38
27.25,-116.75,2012,05,03,              7.26
27.25,-116.25,2012,05,03,              7.26
27.75,-120.25,2012,05,03,              4.91
27.75,-119.75,2012,05,03,              5.29
27.75,-119.25,2012,05,03,              5.29
27.75,-118.75,2012,05,03,              5.88
27.75,-118.25,2012,05,03,              5.88
27.75,-117.75,2012,05,03,              6.38
27.75,-117.25,2012,05,03,              6.38
27.75,-116.75,2012,05,03,              7.26
27.75,-116.25,2012,05,03,              7.26
28.25,-120.25,2012,05,03,              3.58
28.25,-119.75,2012,05,03,              3.86
28.25,-119.25,2012,05,03,              3.86
28.25,-118.75,2012,05,03,              5.29
28.25,-118.25,2012,05,03,              5.29
28.25,-117.75,2012,05,03,              5.70
28.25,-117.25,2012,05,03,              5.70
28.25,-116.75,2012,05,03,              5.74
28.25,-116.25,2012,05,03,              5.74
28.75,-120.25,2012,05,03,              3.58
28.75,-119.75,2012,05,03,              3.86
28.75,-119.25,2012,05,03,              3.86
28.75,-118.75,2012,05,03,              5.29
28.75,-118.25,2012,05,03,              5.29
28.75,-117.75,2012,05,03,              5.70
28.75,-117.25,2012,05,03,              5.70
28.75,-116.75,2012,05,03,              5.74
28.75,-116.25,2012,05,03,              5.74
29.25,-120.25,2012,05,03,              5.26
29.25,-119.75,2012,05,03,              3.83
29.25,-119.25,2012,05,03,              3.83
29.25,-118.75,2012,05,03,              5.15
29.25,-118.25,2012,05,03,              5.15
29.25,-117.75,2012,05,03,              5.79
29.25,-117.25,2012,05,03,              5.79
29.25,-116.75,2012,05,03,              5.78
29.25,-116.25,2012,05,03,              5.78
29.75,-120.25,2012,05,03,              5.26
29.75,-119.75,2012,05,03,              3.83
29.75,-119.25,2012,05,03,              3.83
29.75,-118.75,2012,05,03,              5.15
29.75,-118.25,2012,05,03,              5.15
29.75,-117.75,2012,05,03,              5.79
29.75,-117.25,2012,05,03,              5.79
29.75,-116.75,2012,05,03,              5.78
29.75,-116.25,2012,05,03,              5.78
30.25,-120.25,2012,05,03,              4.89
30.25,-119.75,2012,05,03,              4.01
30.25,-119.25,2012,05,03,              4.01
30.25,-118.75,2012,05,03,              5.64
30.25,-118.25,2012,05,03,              5.64
30.25,-117.75,2012,05,03,              5.29
30.25,-117.25,2012,05,03,              5.29
30.25,-116.75,2012,05,03,              5.96
30.25,-116.25,2012,05,03,              5.96
26.25,-120.25,2012,05,04,              5.41
26.25,-119.75,2012,05,04,              5.59
26.25,-119.25,2012,05,04,              5.59
26.25,-118.75,2012,05,04,              6.01
26.25,-118.25,2012,05,04,              6.01
26.25,-117.75,2012,05,04,              6.15
26.25,-117.25,2012,05,04,              6.15
26.25,-116.75,2012,05,04,              7.13
26.25,-116.25,2012,05,04,              7.13
26.75,-120.25,2012,05,04,              5.41
26.75,-119.75,2012,05,04,              5.59
26.75,-119.25,2012,05,04,              5.59
26.75,-118.75,2012,05,04,              6.01
26.75,-118.25,2012,05,04,              6.01
26.75,-117.75,2012,05,04,              6.15
26.75,-117.25,2012,05,04,              6.15
26.75,-116.75,2012,05,04,              7.13
26.75,-116.25,2012,05,04,              7.13
27.25,-120.25,2012,05,04,              4.65
27.25,-119.75,2012,05,04,              5.07
27.25,-119.25,2012,05,04,              5.07
27.25,-118.75,2012,05,04,              6.34
27.25,-118.25,2012,05,04,              6.34
27.25,-117.75,2012,05,04,              6.50
27.25,-117.25,2012,05,04,              6.50
27.25,-116.75,2012,05,04,              6.27
27.25,-116.25,2012,05,04,              6.27
27.75,-120.25,2012,05,04,              4.65
27.75,-119.75,2012,05,04,              5.07
27.75,-119.25,2012,05,04,              5.07
27.75,-118.75,2012,05,04,              6.34
27.75,-118.25,2012,05,04,              6.34
27.75,-117.75,2012,05,04,              6.50
27.75,-117.25,2012,05,04,              6.50
27.75,-116.75,2012,05,04,              6.27
27.75,-116.25,2012,05,04,              6.27
28.25,-120.25,2012,05,04,              5.31
28.25,-119.75,2012,05,04,              5.66
28.25,-119.25,2012,05,04,              5.66
28.25,-118.75,2012,05,04,              6.22
28.25,-118.25,2012,05,04,              6.22
28.25,-117.75,2012,05,04,              6.12
28.25,-117.25,2012,05,04,              6.12
28.25,-116.75,2012,05,04,              6.24
28.25,-116.25,2012,05,04,              6.24
28.75,-120.25,2012,05,04,              5.31
28.75,-119.75,2012,05,04,              5.66
28.75,-119.25,2012,05,04,              5.66
28.75,-118.75,2012,05,04,              6.22
28.75,-118.25,2012,05,04,              6.22
28.75,-117.75,2012,05,04,              6.12
28.75,-117.25,2012,05,04,              6.12
28.75,-116.75,2012,05,04,              6.24
28.75,-116.25,2012,05,04,              6.24
29.25,-120.25,2012,05,04,              5.46
29.25,-119.75,2012,05,04,              5.56
29.25,-119.25,2012,05,04,              5.56
29.25,-118.75,2012,05,04,              5.80
29.25,-118.25,2012,05,04,              5.80
29.25,-117.75,2012,05,04,              6.49
29.25,-117.25,2012,05,04,              6.49
29.25,-116.75,2012,05,04,              6.19
29.25,-116.25,2012,05,04,              6.19
29.75,-120.25,2012,05,04,              5.46
29.75,-119.75,2012,05,04,              5.56
29.75,-119.25,2012,05,04,              5.56
29.75,-118.75,2012,05,04,              5.80
29.75,-118.25,2012,05,04,              5.80
29.75,-117.75,2012,05,04,              6.49
29.75,-117.25,2012,05,04,              6.49
29.75,-116.75,2012,05,04,              6.19
29.75,-116.25,2012,05,04,              6.19
30.25,-120.25,2012,05,04,              6.49
30.25,-119.75,2012,05,04,              5.14
30.25,-119.25,2012,05,04,              5.14
30.25,-118.75,2012,05,04,              5.14
30.25,-118.25,2012,05,04,              5.14
30.25,-117.75,2012,05,04,              6.09
30.25,-117.25,2012,05,04,              6.09
30.25,-116.75,2012,05,04,              6.86
30.25,-116.25,2012,05,04,              6.86
26.25,-120.25,2012,05,05,              6.82
26.25,-119.75,2012,05,05,              6.54
26.25,-119.25,2012,05,05,              6.54
26.25,-118.75,2012,05,05,              6.63
26.25,-118.25,2012,05,05,              6.63
26.25,-117.75,2012,05,05,              7.59
26.25,-117.25,2012,05,05,              7.59
26.25,-116.75,2012,05,05,              7.84
26.25,-116.25,2012,05,05,              7.84
26.75,-120.25,2012,05,05,              6.82
26.75,-119.75,2012,05,05,              6.54
26.75,-119.25,2012,05,05,              6.54
26.75,-118.75,2012,05,05,              6.63
26.75,-118.25,2012,05,05,              6.63
26.75,-117.75,2012,05,05,              7.59
26.75,-117.25,2012,05,05,              7.59
26.75,-116.75,2012,05,05,              7.84
26.75,-116.25,2012,05,05,              7.84
27.25,-120.25,2012,05,05,              8.12
27.25,-119.75,2012,05,05,              8.06
27.25,-119.25,2012,05,05,              8.06
27.25,-118.75,2012,05,05,              7.87
27.25,-118.25,2012,05,05,              7.87
27.25,-117.75,2012,05,05,              7.55
27.25,-117.25,2012,05,05,              7.55
27.25,-116.75,2012,05,05,              7.14
27.25,-116.25,2012,05,05,              7.14
27.75,-120.25,2012,05,05,              8.12
27.75,-119.75,2012,05,05,              8.06
27.75,-119.25,2012,05,05,              8.06
27.75,-118.75,2012,05,05,              7.87
27.75,-118.25,2012,05,05,              7.87
27.75,-117.75,2012,05,05,              7.55
27.75,-117.25,2012,05,05,              7.55
27.75,-116.75,2012,05,05,              7.14
27.75,-116.25,2012,05,05,              7.14
28.25,-120.25,2012,05,05,              8.12
28.25,-119.75,2012,05,05,              8.08
28.25,-119.25,2012,05,05,              8.08
28.25,-118.75,2012,05,05,              7.75
28.25,-118.25,2012,05,05,              7.75
28.25,-117.75,2012,05,05,              6.99
28.25,-117.25,2012,05,05,              6.99
28.25,-116.75,2012,05,05,              5.99
28.25,-116.25,2012,05,05,              5.99
28.75,-120.25,2012,05,05,              8.12
28.75,-119.75,2012,05,05,              8.08
28.75,-119.25,2012,05,05,              8.08
28.75,-118.75,2012,05,05,              7.75
28.75,-118.25,2012,05,05,              7.75
28.75,-117.75,2012,05,05,              6.99
28.75,-117.25,2012,05,05,              6.99
28.75,-116.75,2012,05,05,              5.99
28.75,-116.25,2012,05,05,              5.99
29.25,-120.25,2012,05,05,              8.04
29.25,-119.75,2012,05,05,              7.92
29.25,-119.25,2012,05,05,              7.92
29.25,-118.75,2012,05,05,              6.75
29.25,-118.25,2012,05,05,              6.75
29.25,-117.75,2012,05,05,              5.68
29.25,-117.25,2012,05,05,              5.68
29.25,-116.75,2012,05,05,              5.15
29.25,-116.25,2012,05,05,              5.15
29.75,-120.25,2012,05,05,              8.04
29.75,-119.75,2012,05,05,              7.92
29.75,-119.25,2012,05,05,              7.92
29.75,-118.75,2012,05,05,              6.75
29.75,-118.25,2012,05,05,              6.75
29.75,-117.75,2012,05,05,              5.68
29.75,-117.25,2012,05,05,              5.68
29.75,-116.75,2012,05,05,              5.15
29.75,-116.25,2012,05,05,              5.15
30.25,-120.25,2012,05,05,              8.11
30.25,-119.75,2012,05,05,              7.54
30.25,-119.25,2012,05,05,              7.54
30.25,-118.75,2012,05,05,              6.44
30.25,-118.25,2012,05,05,              6.44
30.25,-117.75,2012,05,05,              4.78
30.25,-117.25,2012,05,05,              4.78
30.25,-116.75,2012,05,05,              5.40
30.25,-116.25,2012,05,05,              5.40
26.25,-120.25,2012,05,06,              8.32
26.25,-119.75,2012,05,06,              8.32
26.25,-119.25,2012,05,06,              8.32
26.25,-118.75,2012,05,06,              8.32
26.25,-118.25,2012,05,06,              8.32
26.25,-117.75,2012,05,06,              8.28
26.25,-117.25,2012,05,06,              8.28
26.25,-116.75,2012,05,06,              8.10
26.25,-116.25,2012,05,06,              8.10
26.75,-120.25,2012,05,06,              8.32
26.75,-119.75,2012,05,06,              8.32
26.75,-119.25,2012,05,06,              8.32
26.75,-118.75,2012,05,06,              8.32
26.75,-118.25,2012,05,06,              8.32
26.75,-117.75,2012,05,06,              8.28
26.75,-117.25,2012,05,06,              8.28
26.75,-116.75,2012,05,06,              8.10
26.75,-116.25,2012,05,06,              8.10
27.25,-120.25,2012,05,06,              8.23
27.25,-119.75,2012,05,06,              8.33
27.25,-119.25,2012,05,06,              8.33
27.25,-118.75,2012,05,06,              8.35
27.25,-118.25,2012,05,06,              8.35
27.25,-117.75,2012,05,06,              8.33
27.25,-117.25,2012,05,06,              8.33
27.25,-116.75,2012,05,06,              8.32
27.25,-116.25,2012,05,06,              8.32
27.75,-120.25,2012,05,06,              8.23
27.75,-119.75,2012,05,06,              8.33
27.75,-119.25,2012,05,06,              8.33
27.75,-118.75,2012,05,06,              8.35
27.75,-118.25,2012,05,06,              8.35
27.75,-117.75,2012,05,06,              8.33
27.75,-117.25,2012,05,06,              8.33
27.75,-116.75,2012,05,06,              8.32
27.75,-116.25,2012,05,06,              8.32
28.25,-120.25,2012,05,06,              8.03
28.25,-119.75,2012,05,06,              7.87
28.25,-119.25,2012,05,06,              7.87
28.25,-118.75,2012,05,06,              7.83
28.25,-118.25,2012,05,06,              7.83
28.25,-117.75,2012,05,06,              8.06
28.25,-117.25,2012,05,06,              8.06
28.25,-116.75,2012,05,06,              7.56
28.25,-116.25,2012,05,06,              7.56
28.75,-120.25,2012,05,06,              8.03
28.75,-119.75,2012,05,06,              7.87
28.75,-119.25,2012,05,06,              7.87
28.75,-118.75,2012,05,06,              7.83
28.75,-118.25,2012,05,06,              7.83
28.75,-117.75,2012,05,06,              8.06
28.75,-117.25,2012,05,06,              8.06
28.75,-116.75,2012,05,06,              7.56
28.75,-116.25,2012,05,06,              7.56
29.25,-120.25,2012,05,06,              7.85
29.25,-119.75,2012,05,06,              7.24
29.25,-119.25,2012,05,06,              7.24
29.25,-118.75,2012,05,06,              5.87
29.25,-118.25,2012,05,06,              5.87
29.25,-117.75,2012,05,06,              5.71
29.25,-117.25,2012,05,06,              5.71
29.25,-116.75,2012,05,06,              6.02
29.25,-116.25,2012,05,06,              6.02
29.75,-120.25,2012,05,06,              7.85
29.75,-119.75,2012,05,06,              7.24
29.75,-119.25,2012,05,06,              7.24
29.75,-118.75,2012,05,06,              5.87
29.75,-118.25,2012,05,06,              5.87
29.75,-117.75,2012,05,06,              5.71
29.75,-117.25,2012,05,06,              5.71
29.75,-116.75,2012,05,06,              6.02
29.75,-116.25,2012,05,06,              6.02
30.25,-120.25,2012,05,06,              7.99
30.25,-119.75,2012,05,06,              7.02
30.25,-119.25,2012,05,06,              7.02
30.25,-118.75,2012,05,06,              5.06
30.25,-118.25,2012,05,06,              5.06
30.25,-117.75,2012,05,06,              4.84
30.25,-117.25,2012,05,06,              4.84
30.25,-116.75,2012,05,06,              6.04
30.25,-116.25,2012,05,06,              6.04
26.25,-120.25,2012,05,07,              7.32
26.25,-119.75,2012,05,07,              7.29
26.25,-119.25,2012,05,07,              7.29
26.25,-118.75,2012,05,07,              7.50
26.25,-118.25,2012,05,07,              7.50
26.25,-117.75,2012,05,07,              7.25
26.25,-117.25,2012,05,07,              7.25
26.25,-116.75,2012,05,07,              7.33
26.25,-116.25,2012,05,07,              7.33
26.75,-120.25,2012,05,07,              7.32
26.75,-119.75,2012,05,07,              7.29
26.75,-119.25,2012,05,07,              7.29
26.75,-118.75,2012,05,07,              7.50
26.75,-118.25,2012,05,07,              7.50
26.75,-117.75,2012,05,07,              7.25
26.75,-117.25,2012,05,07,              7.25
26.75,-116.75,2012,05,07,              7.33
26.75,-116.25,2012,05,07,              7.33
27.25,-120.25,2012,05,07,              6.79
27.25,-119.75,2012,05,07,              6.44
27.25,-119.25,2012,05,07,              6.44
27.25,-118.75,2012,05,07,              6.41
27.25,-118.25,2012,05,07,              6.41
27.25,-117.75,2012,05,07,              5.76
27.25,-117.25,2012,05,07,              5.76
27.25,-116.75,2012,05,07,              5.52
27.25,-116.25,2012,05,07,              5.52
27.75,-120.25,2012,05,07,              6.79
27.75,-119.75,2012,05,07,              6.44
27.75,-119.25,2012,05,07,              6.44
27.75,-118.75,2012,05,07,              6.41
27.75,-118.25,2012,05,07,              6.41
27.75,-117.75,2012,05,07,              5.76
27.75,-117.25,2012,05,07,              5.76
27.75,-116.75,2012,05,07,              5.52
27.75,-116.25,2012,05,07,              5.52
28.25,-120.25,2012,05,07,              6.28
28.25,-119.75,2012,05,07,              5.05
28.25,-119.25,2012,05,07,              5.05
28.25,-118.75,2012,05,07,              5.89
28.25,-118.25,2012,05,07,              5.89
28.25,-117.75,2012,05,07,              6.26
28.25,-117.25,2012,05,07,              6.26
28.25,-116.75,2012,05,07,              5.87
28.25,-116.25,2012,05,07,              5.87
28.75,-120.25,2012,05,07,              6.28
28.75,-119.75,2012,05,07,              5.05
28.75,-119.25,2012,05,07,              5.05
28.75,-118.75,2012,05,07,              5.89
28.75,-118.25,2012,05,07,              5.89
28.75,-117.75,2012,05,07,              6.26
28.75,-117.25,2012,05,07,              6.26
28.75,-116.75,2012,05,07,              5.87
28.75,-116.25,2012,05,07,              5.87
29.25,-120.25,2012,05,07,              5.80
29.25,-119.75,2012,05,07,              5.09
29.25,-119.25,2012,05,07,              5.09
29.25,-118.75,2012,05,07,              5.72
29.25,-118.25,2012,05,07,              5.72
29.25,-117.75,2012,05,07,              5.40
29.25,-117.25,2012,05,07,              5.40
29.25,-116.75,2012,05,07,              5.46
29.25,-116.25,2012,05,07,              5.46
29.75,-120.25,2012,05,07,              5.80
