-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-80.25,2012,05,01,              6.69
46.25,-79.75,2012,05,01,              3.83
46.25,-79.25,2012,05,01,              3.83
46.25,-78.75,2012,05,01,              3.83
46.25,-78.25,2012,05,01,              3.83
46.25,-77.75,2012,05,01,              2.39
46.25,-77.25,2012,05,01,              2.39
46.25,-76.75,2012,05,01,              2.39
46.25,-76.25,2012,05,01,              2.39
46.75,-80.25,2012,05,01,              6.69
46.75,-79.75,2012,05,01,              3.83
46.75,-79.25,2012,05,01,              3.83
46.75,-78.75,2012,05,01,              3.83
46.75,-78.25,2012,05,01,              3.83
46.75,-77.75,2012,05,01,              2.39
46.75,-77.25,2012,05,01,              2.39
46.75,-76.75,2012,05,01,              2.39
46.75,-76.25,2012,05,01,              2.39
47.25,-80.25,2012,05,01,              6.53
47.25,-79.75,2012,05,01,              4.30
47.25,-79.25,2012,05,01,              4.30
47.25,-78.75,2012,05,01,              4.30
47.25,-78.25,2012,05,01,              4.30
47.25,-77.75,2012,05,01,              2.64
47.25,-77.25,2012,05,01,              2.64
47.25,-76.75,2012,05,01,              2.64
47.25,-76.25,2012,05,01,              2.64
47.75,-80.25,2012,05,01,              6.53
47.75,-79.75,2012,05,01,              4.30
47.75,-79.25,2012,05,01,              4.30
47.75,-78.75,2012,05,01,              4.30
47.75,-78.25,2012,05,01,              4.30
47.75,-77.75,2012,05,01,              2.64
47.75,-77.25,2012,05,01,              2.64
47.75,-76.75,2012,05,01,              2.64
47.75,-76.25,2012,05,01,              2.64
48.25,-80.25,2012,05,01,              6.58
