-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-80.25,2012,05,01,              5.26
38.25,-79.75,2012,05,01,              6.36
38.25,-79.25,2012,05,01,              6.36
38.25,-78.75,2012,05,01,              5.94
38.25,-78.25,2012,05,01,              5.94
38.25,-77.75,2012,05,01,              5.81
38.25,-77.25,2012,05,01,              5.81
38.25,-76.75,2012,05,01,              6.35
38.25,-76.25,2012,05,01,              6.35
38.75,-80.25,2012,05,01,              5.26
38.75,-79.75,2012,05,01,              6.36
38.75,-79.25,2012,05,01,              6.36
38.75,-78.75,2012,05,01,              5.94
38.75,-78.25,2012,05,01,              5.94
38.75,-77.75,2012,05,01,              5.81
38.75,-77.25,2012,05,01,              5.81
38.75,-76.75,2012,05,01,              6.35
38.75,-76.25,2012,05,01,              6.35
39.25,-80.25,2012,05,01,              6.10
39.25,-79.75,2012,05,01,              6.17
39.25,-79.25,2012,05,01,              6.17
39.25,-78.75,2012,05,01,              6.45
39.25,-78.25,2012,05,01,              6.45
39.25,-77.75,2012,05,01,              5.59
39.25,-77.25,2012,05,01,              5.59
39.25,-76.75,2012,05,01,              5.56
39.25,-76.25,2012,05,01,              5.56
39.75,-80.25,2012,05,01,              6.10
39.75,-79.75,2012,05,01,              6.17
39.75,-79.25,2012,05,01,              6.17
39.75,-78.75,2012,05,01,              6.45
39.75,-78.25,2012,05,01,              6.45
39.75,-77.75,2012,05,01,              5.59
39.75,-77.25,2012,05,01,              5.59
39.75,-76.75,2012,05,01,              5.56
39.75,-76.25,2012,05,01,              5.56
40.25,-80.25,2012,05,01,              6.06
40.25,-79.75,2012,05,01,              5.87
40.25,-79.25,2012,05,01,              5.87
40.25,-78.75,2012,05,01,              5.41
40.25,-78.25,2012,05,01,              5.41
40.25,-77.75,2012,05,01,              5.59
40.25,-77.25,2012,05,01,              5.59
