SITEID_07,LAT_DD,LON_DD,LakeArea,LakeDepth,LakePerim,LakeEleva,HUC2,HUC8,ECO3,ECO3_NAM,EPA_REG,Cond,DOC,NTL,PTL,Silica,pH,Temp,Sol,NUT_REG,NUTREG_NAME,ECO_NUTA,ECO3_X_ORIGIN,STATE,CNTYNAME,LAKE_ORIGIN,DATE
NLA06608-0001,48.979029,-114.0218399,66.2930555,8.3,3.178509805,1605.73,10,10010001,41,Canadian Rockies,Region_8,96.28,630,151,6,1182,7.63,14.977778,5.691960784,II,Western Forested Mountains,II,WMTNS NATURAL,MT,GLACIER,NATURAL,7/31/2007
NLA06608-0002,33.036064,-79.98379054,14.43799807,2.3,1.743509934,4.9,3,3050201,63,Middle Atlantic Coastal Plain,Region_4,44.8,14020,695,36,1695,6.05,22.218,5.711437908,XIV,Eastern Coastal Plain,CPL,PLNLOW MAN-MADE,SC,BERKELEY,MAN-MADE,6/14/2007
NLA06608-0003,28.047742,-97.85986605,5.701736559,2.5,1.265008306,17.6,12,12110111,34,Western Gulf Coastal Plain,Region_6,1089,6000,738,43,45248,8.47,29.96,5.222352941,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,PLNLOW NATURAL,TX,SAN PATRICIO,NATURAL,8/29/2007
NLA06608-0004,37.41662,-108.4045832,65.38630923,6.3,6.011153731,2213,14,14080202,21,Southern Rockies,Region_8,303.3,8000,344,18,2763,8.25,20.242857,6.659215686,II,Western Forested Mountains,II,WMTNS MAN-MADE,CO,MONTEZUMA,MAN-MADE,7/10/2007
NLA06608-0005,43.929209,-114.8403862,19.48761255,6.1,1.962187216,2138,17,17060201,16,Idaho Batholith,Region_10,52.62,1450,85,4,6166,7.75,20.042857,6.420653595,II,Western Forested Mountains,II,WMTNS NATURAL,ID,BLAINE,NATURAL,7/18/2007
NLA06608-0006,41.683146,-73.1465177,56.19974819,25.3,5.836994717,198.75,1,1100005,59,Northeastern Coastal Zone,Region_1,74.74,3160,184,7,2482,7.06,10.9148,5.731176471,XIV,Eastern Coastal Plain,CPL,EHIGH MAN-MADE,CT,LITCHFIELD,MAN-MADE,7/17/2007
NLA06608-0007,45.580645,-92.04001797,25.4747633,19.2,3.02298601,390.86,7,7050007,51,North Central Hardwood Forests,Region_5,26.65,6680,493,8,91,6.07,11.145,5.465816993,VII,Mostly Glaciated Dairy Region,VII,PLNLOW NATURAL,WI,BARRON,NATURAL,7/24/2007
NLA06608-0008,41.292111,-93.59040488,48.7370362,5.5,5.71138051,261.56,7,7100008,47,Western Corn Belt Plains,Region_7,238.1,7600,801,66,3789,8.48,24.2,5.712222222,VI,Corn Belt and Northern Great Plains,VI,PLNLOW MAN-MADE,IA,WARREN,MAN-MADE,7/12/2007
NLA06608-0010,42.61823,-83.50588771,30.03733238,11.8,2.423467747,284.65,4,4090005,56,Southern Michigan/Northern Indiana Drift Plains,Region_5,650.1,4940,473,10,3131,8.74,17.876923,5.732745098,VII,Mostly Glaciated Dairy Region,VII,PLNLOW NATURAL,MI,OAKLAND,NATURAL,7/17/2007
NLA06608-0012,35.990788,-96.87178731,177.6575126,3.5,13.50645679,255.6,11,11050003,27,Central Great Plains,Region_6,219.5,8010,1026,159,10202,7.64,26.506,5.317124183,V,South Central Cultivated Great Plains,V,PLNLOW MAN-MADE,OK,PAYNE,MAN-MADE,6/13/2007
NLA06608-0013,39.97428,-74.56255123,37.14025576,2.3,8.284688178,15.44,2,2040202,84,Atlantic Coastal Pine Barrens,Region_2,47.52,4790,384,28,3103,5.64,25.1,5.676535948,XIV,Eastern Coastal Plain,CPL,PLNLOW MAN-MADE,NJ,BURLINGTON,MAN-MADE,9/4/2007
NLA06608-0014,47.834927,-100.5756807,12.80952857,1.7,1.383813932,498.4,9,9010003,46,Northern Glaciated Plains,Region_8,8722,41270,4147,175,7661,9.39,21.56,5.440392157,VI,Corn Belt and Northern Great Plains,VI,PLNLOW NATURAL,ND,SHERIDAN,NATURAL,8/6/2007
