SITEID_12,SITEID_07,UID,LAT_DD,LON_DD,LakeArea,LakeDepth,LakePerim,LakeEleva,HUC2,HUC8,ECO3,ECO3_2015,ECO4,ECO4_2015,EPA_REG,Cond,DOC,NTL,PTL,Silica,pH,Temp,Sol
NLA12_AL-101,NLA06608-2187,6300,33.29204144,-87.3913824,1301.87197,13.1,104.2086662,57.03,3,3160112,68,68,68f,68f,Region_4,299,2.17,0.505,30,4.144,8.54,25.67564103,5.859281046
NLA12_AL-101,NLA06608-2187,7374,33.29204144,-87.3913824,1301.87197,13.7,104.2086662,57.03,3,3160112,68,68,68f,68f,Region_4,450,2.5,0.376,25,2.212,8.28,29.50128205,5.859281046
NLA12_AL-102,NLA06608-0459,7228,34.22781586,-86.84344912,72.95042027,17.3,11.87230532,247.04,3,3160109,68,68,68d,68d,Region_4,76,3.38,0.389,12,1.783,7.37,19.26923077,6.044705882
NLA12_AL-103,NLA06608-2955,7292,33.7624784,-86.05315833,10363.25848,6.5,688.4591342,141.76,3,3150106,67,67,67g,67g,Region_4,199.9,2.83,0.449,56,3.527,8.34,29.57307692,5.846535948
NLA12_AL-104,NLA06608-0283,7368,32.51586852,-87.86108477,4731.474336,19.8,698.1088203,22.28,3,3160201,65,65,65b,65p,Region_4,345,2.68,0.344,37,2.698,7.99,29.95897436,5.882287582
NLA12_AL-105,,6267,31.62154629,-88.35373896,32.56146308,4.6,2.998953879,50.83,3,3160203,65,65,65f,65f,Region_4,32.5,7.13,1.85,106,1.574,9.21,30.19230769,5.812352941
NLA12_AL-105,,7394,31.62154629,-88.35373896,32.56146308,5,2.998953879,50.83,3,3160203,65,65,65f,65f,Region_4,29.7,6.53,1.078,58,2.336,8.49,25.93717949,5.812352941
NLA12_AL-112,,7375,33.36486204,-88.16688028,5.55544262,3.8,1.293121817,78.07,3,3160106,65,65,65i,65i,Region_4,52.4,3.82,0.379,33,5.049,7.73,28.36666667,5.933464052
NLA12_AL-113,,7769,30.97184148,-88.0527428,29.40501835,2.5,3.81355553,13.99,3,3160204,65,65,65f,65f,Region_4,22.5,3.41,0.248,27,7.562,6.51,27.25,5.967058824
NLA12_AL-114,,7459,33.88200988,-85.9316179,18.10471487,3.5,3.585987135,171.04,3,3150106,67,67,67g,67g,Region_4,175.9,3.6,0.51,62,13.866,8.8,31.35512821,5.906470588
NLA12_AL-R03,NLA06608-1871,7291,33.32192301,-85.81071637,22.42053898,NA,4.766510605,317.68,3,3150109,45,45,45a,45a,Region_4,37.6,1.49,0.126,31,12.345,7.51,19.8974359,5.906470588
NLA12_AL-R05,NLA06608-4509,7376,33.28949519,-87.68596227,91.03472955,NA,11.21361901,71.04,3,3160113,65,65,65i,65i,Region_4,20.7,2.5,0.326,24,8.858,6.86,23.53333333,5.859281046
NLA12_AR-101,NLA06608-1808,7392,34.53435079,-92.26882632,105.7849996,1.9,9.08146137,74.14,11,11110207,35,35,35a,35a,Region_6,44.1,11.36,0.92,88,6.684,7.3,31.32,6.198496732
NLA12_AR-101,NLA06608-1808,8021,34.53435079,-92.26882632,105.7849996,2.1,9.08146137,74.14,11,11110207,35,35,35a,35a,Region_6,46,11.01,0.791,80,7.901,7.36,28.4,6.198496732
NLA12_AR-102,NLA06608-0208,8144,35.58318947,-90.96294056,95.89252695,1.3,3.883137271,69.01,8,8020302,73,73,73g,73g,Region_6,118.1,5.33,1.536,151,16.852,7.95,26.35,6.19875817
NLA12_AR-103,NLA06608-1204,8217,34.41755034,-93.07012469,2428.921192,13.4,180.208525,118.4,8,8040101,36,36,36b,36b,Region_6,51.4,2.92,0.311,15,4.145,7.73,27.9,6.174705882
NLA12_AR-104,NLA06608-1484,7812,35.5624593,-93.63756822,44.682124,9.1,4.738604684,203.73,11,11110202,37,37,37c,37c,Region_6,34.9,2.03,0.175,30,5.005,7.23,29.5,6.206797386
NLA12_AR-105,,7409,33.07556301,-92.66059625,7.29500254,2.3,1.551513244,55.37,8,8040206,35,35,35a,35a,Region_6,71.2,8.72,0.476,34,3.047,7.09,32.2,6.167058824
NLA12_AR-105,,8022,33.07556301,-92.66059625,7.29500254,2.6,1.551513244,55.37,8,8040206,35,35,35a,35a,Region_6,74.1,8.92,0.599,39,4.377,7.09,29.9,6.167058824
NLA12_AR-106,,8121,36.06720319,-91.14242843,222.5927542,5.4,17.23630001,82.69,11,11010009,39,39,39d,39d,Region_6,244,5.02,1.385,107,7.745,8.81,27.85,6.243202614
NLA12_AR-109,,7811,33.81796398,-94.05998348,4.149225261,7.8,1.003458503,107.3,11,11140109,35,35,35h,35h,Region_6,248,7.48,0.656,39,7.254,8.22,32.15,-0.230784314
