"SITEID_07","zpSR","zpDen","zpDiv.Sh","Omni","W.Omni","phySR","phyDiv.Sh","phyDen.Ind","phyDen.BioV","LAT_DD","LON_DD","LakeArea","LakeDepth","LakePerim","LakeEleva","HUC_2","HUC_8","ECO3","EPA_REG","Cond","DOC","NTL","PTL","Silica","pH","Temp","Sol","ECO_L3_NAM","NUT_REG","NUTREG_NAME","ECO_NUTA","ECO3_X_ORIGIN","STATE","DATE","ln_phyDen.BioV","ln_phySR","ln_zpSR","ln_zpDen","ln_Cond","ln_DOC","ln_NTL","ln_PTL","ln_Silica"
"NLA06608-0001",2,0.0268607805742835,0.59775547737748,0,0,19,2.06759169209067,237.171088739,111197.26340161,48.979029,-114.0218399,66.2930555,8.3,3.178509805,1605.73,10,10010001,41,"Region_8",96.28,630,151,6,1182,7.63,14.977778,5.691960784,"Canadian Rockies","II","Western Forested Mountains","II","WMTNS NATURAL","MT","7/31/2007",11.619061050798,2.94443897916644,0.693147180559945,-3.6170880274648,4.56726061291487,6.44571981938558,5.01727983681492,1.79175946922805,7.07496319796604
"NLA06608-0002",23,1.26370142223027,3.26167381888297,0.391304347826087,0.261648745519713,48,3.09917612223973,30599.427710581,6719228.3086142,33.036064,-79.98379054,14.43799807,2.3,1.743509934,4.9,3,3050201,63,"Region_4",44.8,14020,695,36,1695,6.05,22.218,5.711437908,"Middle Atlantic Coastal Plain","XIV","Eastern Coastal Plain","CPL","PLNLOW MAN-MADE","SC","6/14/2007",15.7204838708776,3.87120101090789,3.13549421592915,0.23404505123116,3.80220813942094,9.54824016058858,6.54391184556479,3.58351893845611,7.43543801981455
"NLA06608-0003",14,2.24413023738487,2.02366436634841,0.857142857142857,0.901734104046243,27,2.02333503765835,112788.82539694,43870654.046872,28.047742,-97.85986605,5.701736559,2.5,1.265008306,17.6,12,12110111,34,"Region_6",1089,6000,738,43,45248,8.47,29.96,5.222352941,"Western Gulf Coastal Plain","X","Texas-Louisiana Coastal and Mississippi Alluvial Plains","CPL","PLNLOW NATURAL","TX","8/29/2007",17.5967561817815,3.29583686600433,2.63905732961526,0.808318024026608,6.99301512293296,8.69951474821019,6.60394382460047,3.76120011569356,10.7199137492562
"NLA06608-0004",19,15.0540540540541,1.92543657256439,0.684210526315789,0.16098144823459,39,2.7214551478574,48298.518029283,13424094.2892366,37.41662,-108.4045832,65.38630923,6.3,6.011153731,2213,14,14080202,21,"Region_8",303.3,8000,344,18,2763,8.25,20.242857,6.659215686,"Southern Rockies","II","Western Forested Mountains","II","WMTNS MAN-MADE","CO","7/10/2007",16.4125617315945,3.66356164612965,2.94443897916644,2.71164732728306,5.71472241469454,8.98719682066197,5.8406416573734,2.89037175789616,7.92407232492342
"NLA06608-0005",14,3.5506105168429,2.2175694790705,0.357142857142857,0.0288018433179724,45,1.45571276399293,6293.157655073,1278470.10522408,43.929209,-114.8403862,19.48761255,6.1,1.962187216,2138,17,17060201,16,"Region_10",52.62,1450,85,4,6166,7.75,20.042857,6.420653595,"Idaho Batholith","II","Western Forested Mountains","II","WMTNS NATURAL","ID","7/18/2007",14.0611746907447,3.80666248977032,2.63905732961526,1.26711956527651,3.96309627561215,7.27931883541462,4.44265125649032,1.38629436111989,8.7268056084461
"NLA06608-0006",16,96.1666666666667,2.24398056268609,0.25,0.0779896013864818,39,1.79907830465578,14251.979251732,5000490.103793,41.683146,-73.1465177,56.19974819,25.3,5.836994717,198.75,1,1100005,59,"Region_1",74.74,3160,184,7,2482,7.06,10.9148,5.731176471,"Northeastern Coastal Zone","XIV","Eastern Coastal Plain","CPL","EHIGH MAN-MADE","CT","7/17/2007",15.4250464863533,3.66356164612965,2.77258872223978,4.56608279728004,4.31401542405734,8.05832730658096,5.21493575760899,1.94591014905531,7.81681996576455
"NLA06608-0007",26,50.0460829493088,2.97522732643417,0.307692307692308,0.069060773480663,24,2.10189409651027,14050.588501121,1797268.02025103,45.580645,-92.04001797,25.4747633,19.2,3.02298601,390.86,7,7050007,51,"Region_5",26.65,6680,493,8,91,6.07,11.145,5.465816993,"North Central Hardwood Forests","VII","Mostly Glaciated Dairy Region","VII","PLNLOW NATURAL","WI","7/24/2007",14.4017783033648,3.17805383034795,3.25809653802148,3.91294423994747,3.28278915061185,8.80687326653069,6.20050917404269,2.07944154167984,4.51085950651685
"NLA06608-0008",20,12.464046021093,2.50729532724369,0.45,0.38021978021978,31,1.83861717858243,7802.23657936,1467146.5721155,41.292111,-93.59040488,48.7370362,5.5,5.71138051,261.56,7,7100008,47,"Region_7",238.1,7600,801,66,3789,8.48,24.2,5.712222222,"Western Corn Belt Plains","VI","Corn Belt and Northern Great Plains","VI","PLNLOW MAN-MADE","IA","7/12/2007",14.19882996496,3.43398720448515,2.99573227355399,2.5228481814429,5.47269075349282,8.93590352627442,6.68586094706836,4.18965474202643,8.2398574110186
"NLA06608-0010",30,4.42365542784608,3.27783188415078,0.466666666666667,0.287735849056604,45,3.35832093493953,8707.028032602,4394889.2397679,42.61823,-83.50588771,30.03733238,11.8,2.423467747,284.65,4,4090005,56,"Region_5",650.1,4940,473,10,3131,8.74,17.876923,5.732745098,"Southern Michigan/Northern Indiana Drift Plains","VII","Mostly Glaciated Dairy Region","VII","PLNLOW NATURAL","MI","7/17/2007",15.2959528873659,3.80666248977032,3.40119738166216,1.48696637417178,6.47712619721042,8.50512061018197,6.15909538849193,2.30258509299405,8.04910772132641
"NLA06608-0012",24,7.76204896201978,2.2961059016118,0.583333333333333,0.0857814336075206,28,1.48067601180809,18578.407436138,5310499.55308917,35.990788,-96.87178731,177.6575126,3.5,13.50645679,255.6,11,11050003,27,"Region_6",219.5,8010,1026,159,10202,7.64,26.506,5.317124183,"Central Great Plains","V","South Central Cultivated Great Plains","V","PLNLOW MAN-MADE","OK","6/13/2007",15.4851964665877,3.3322045101752,3.17805383034795,2.0492463408397,5.39135223251523,8.9884460400624,6.93342302573071,5.06890420222023,9.23033905848287
"NLA06608-0013",27,3.38626195280288,3.00192087441741,0.444444444444444,0.301813471502591,45,1.8467165477695,16747.569539388,3082248.68193445,39.97428,-74.56255123,37.14025576,2.3,8.284688178,15.44,2,2040202,84,"Region_2",47.52,4790,384,28,3103,5.64,25.1,5.676535948,"Atlantic Coastal Pine Barrens","XIV","Eastern Coastal Plain","CPL","PLNLOW MAN-MADE","NJ","9/4/2007",14.9411699800997,3.80666248977032,3.29583686600433,1.21972664421614,3.86115067505439,8.47428569040496,5.95064255258773,3.3322045101752,8.04012466444838
"NLA06608-0014",18,2.72095527062739,0.884249019110961,0.555555555555556,0.0341726618705036,39,2.30191419949115,26523.754508745,429928.1724917,47.834927,-100.5756807,12.80952857,1.7,1.383813932,498.4,9,9010003,46,"Region_8",8722,41270,4147,175,7661,9.39,21.56,5.440392157,"Northern Glaciated Plains","VI","Corn Belt and Northern Great Plains","VI","PLNLOW NATURAL","ND","8/6/2007",12.9713734329999,3.66356164612965,2.89037175789616,1.0009830210873,9.07360384840271,10.6278911227466,8.33014046024638,5.16478597392351,8.94389780251682
"NLA06608-0015",24,22.6595784790559,2.96456270972082,0.5,0.0443704936217415,23,2.20579946412459,48459.85185217,57170559.8361893,33.007108,-107.2747938,173.9929805,7,50.15536722,1275.36,13,13030101,24,"Region_6",743.6,3780,470,109,21271,8.36,23.575,6.095294118,"Chihuahuan Deserts","III","Xeric West","III","WMTNS MAN-MADE","NM","7/10/2007",17.8615496356741,3.13549421592915,3.17805383034795,3.12058265344343,6.61150325584729,8.23747928861363,6.1527326947041,4.69134788222914,9.96509992166365
"NLA06608-0016",24,13.4251322103392,2.8872574214212,0.458333333333333,0.118918918918919,59,3.72293076261762,29902.337212684,11015594.2747172,41.030252,-100.7797567,641.0233086,6.3,18.96803762,916,10,10190018,44,"Region_7",1060,4690,490,6,6956,8.48,23.575,6.138366013,"Nebraska Sand Hills","IV","Great Plains Grass and Shrublands","IVman","PLNLOW MAN-MADE","NE","6/27/2007",16.2148224881674,4.07753744390572,3.17805383034795,2.59712848841639,6.96602418710611,8.45318786144033,6.19440539110467,1.79175946922805,8.84735987547417
"NLA06608-0019",15,3.21204038864546,1.75073922714482,0.266666666666667,0.212336892052195,40,2.34073860993734,497125.551225673,46287789.1327196,46.366888,-99.51185877,103.3135279,1.2,7.965656888,600.25,10,10130104,42,"Region_8",3327,44990,7047,801,26392,8.4,22.9,5.525816993,"Northwestern Glaciated Plains","V","South Central Cultivated Great Plains","V","PLNLOW NATURAL","ND","6/11/2007",17.6503887506381,3.68887945411394,2.70805020110221,1.16690637030355,8.10982627601848,10.7141955218352,8.86035727332702,6.68586094706836,10.1808162129084
"NLA06608-0020",21,23.4848103601563,3.11982382636191,0.761904761904762,0.138571428571429,36,2.21711301740871,54627.111118888,14950851.5052751,39.408178,-87.81380832,296.2001459,14.9,36.78983872,184.92,5,5120111,54,"Region_5",214.1,5030,605,30,732,8.43,15.346667,5.78503268,"Central Corn Belt Plains","VI","Corn Belt and Northern Great Plains","VI","PLNLOW MAN-MADE","IL","6/11/2007",16.5202788130536,3.58351893845611,3.04452243772342,3.15635384451156,5.36644319559564,8.52317526309379,6.40522845803084,3.40119738166216,6.59578051396131
"NLA06608-0021",16,19.5398291790134,1.31472568655276,0.25,0.0285459411239964,20,1.70787304717638,7599.063710279,20578966.4927149,42.77192,-77.3095481,4226.925272,53,56.14938354,209.55,4,4140201,83,"Region_2",366.8,2920,390,7,3054,8.33,15.2325,5.509411765,"Eastern Great Lakes and Hudson Lowlands","VII","Mostly Glaciated Dairy Region","VII","EHIGH NATURAL","NY","7/27/2007",16.8397800680963,2.99573227355399,2.77258872223978,2.97245490445838,5.90481674038231,7.97933889526233,5.96614673912369,1.94591014905531,8.02420748577858
"NLA06608-0023",17,2.47758662466683,1.68306725905113,0.352941176470588,0.0317848410757946,37,1.98854885354051,15983.644443842,3088269.92277777,31.148492,-97.745332,6.20722172,3,0.974665509,265.85,12,12070202,29,"Region_6",175.7,3880,349,12,4215,8.16,29.15,5.38130719,"Cross Timbers","IX","Southeastern Temperate Forested Plains and Hills","IX","PLNLOW MAN-MADE","TX","8/9/2007",14.9431215965327,3.61091791264422,2.83321334405622,0.907284951158421,5.16877799519305,8.26359043261732,5.85507192220243,2.484906649788,8.34640487043596
"NLA06608-0024",16,4.65116279069767,1.83131026477969,0.5,0.0761904761904762,32,2.25068545724244,50695.619054398,2826736.315929,32.12205,-95.48843409,9530.145112,12.9,239.2872937,105.13,12,12020001,35,"Region_6",181.4,8200,860,35,9619,7.69,25.928571,5.29751634,"South Central Plains","IX","Southeastern Temperate Forested Plains and Hills","IX","PLNLOW MAN-MADE","TX","7/11/2007",14.8546333588656,3.46573590279973,2.77258872223978,1.53711725085447,5.20070453768104,9.01188943325234,6.75693238924755,3.55534806148941,9.17149558815261
