"SITEID_07","zpSR","zpDen","zpDiv.Sh","Omni","W.Omni","phySR","phyDiv.Sh","phyDen.Ind","phyDen.BioV","LAT_DD","LON_DD","LakeArea","LakeDepth","LakePerim","LakeEleva","HUC_2","HUC_8","ECO3","EPA_REG","Cond","DOC","NTL","PTL","Silica","pH","Temp","Sol","ECO_L3_NAM","NUT_REG","NUTREG_NAME","ECO_NUTA","ECO3_X_ORIGIN","STATE","DATE","ln_phyDen","ln_phySR","ln_zpDen","ln_zpSR","ln_NTL","ln_PTL","Lat","ln_DOC","ln_Silica","ln_Temp","ln_Sol","Omni2"
"NLA06608-0001",2,0.0268607805742835,0.59775547737748,-1.8037036270907,0,19,2.06759169209067,237.171088739,111197.26340161,48.979029,-114.0218399,66.2930555,8.3,3.178509805,1605.73,10,10010001,41,"Region_8",96.28,630,151,6,1182,-0.501296391566865,14.977778,5.691960784,"Canadian Rockies","II","Western Forested Mountains","II","WMTNS NATURAL","MT","7/31/2007",-1.50532958949501,-0.413667219781573,-4.38257498359971,-4.89517352260848,-1.31992337690838,-1.00054745314735,1.66096808144905,-2.61357635087091,-1.00224599436823,-1.11493643886,-0.143204250769679,1.1198787332047
"NLA06608-0002",23,1.26370142223027,3.26167381888297,0.80278726952776,0.261648745519713,48,3.09917612223973,30599.427710581,6719228.3086142,33.036064,-79.98379054,14.43799807,2.3,1.743509934,4.9,3,3050201,63,"Region_4",44.8,14020,695,36,1695,-2.5772795242708,22.218,5.711437908,"Middle Atlantic Coastal Plain","XIV","Eastern Coastal Plain","CPL","PLNLOW MAN-MADE","SC","6/14/2007",0.751841901529307,1.60694992158612,-1.52700228305879,1.67056081839563,0.127990762531912,0.139249897637974,-1.5104419201424,1.09832824245121,-0.73143302385184,0.270823411012954,-0.101567000958974,-0.176184336118317
"NLA06608-0003",14,2.24413023738487,2.02366436634841,3.90575262264497,0.901734104046243,27,2.02333503765835,112788.82539694,43870654.046872,28.047742,-97.85986605,5.701736559,2.5,1.265008306,17.6,12,12110111,34,"Region_6",1089,6000,738,43,45248,0.602390843541559,29.96,5.222352941,"Western Gulf Coastal Plain","X","Texas-Louisiana Coastal and Mississippi Alluvial Plains","CPL","PLNLOW NATURAL","TX","8/29/2007",1.78442706900743,0.352484790406853,-1.10118520785961,0.335995064467242,0.184927307007698,0.252278760371943,-2.50273000971412,0.0828996843083867,1.73608641153582,1.32142038988855,-1.1927423793122,7.08212239375761
"NLA06608-0004",19,15.0540540540541,1.92543657256439,2.75384478278602,0.16098144823459,39,2.7214551478574,48298.518029283,13424094.2892366,37.41662,-108.4045832,65.38630923,6.3,6.011153731,2213,14,14080202,21,"Region_8",303.3,8000,344,18,2763,0.313329901013162,20.242857,6.659215686,"Southern Rockies","II","Western Forested Mountains","II","WMTNS MAN-MADE","CO","7/10/2007",1.13271909593396,1.15423428874428,0.310112477121741,1.15694915270048,-0.539016639050741,-0.301683907191821,-0.63905199292802,0.427087083168804,-0.364338015706287,-0.0563483578786173,1.76979104057532,3.27113207032329
"NLA06608-0005",14,3.5506105168429,2.2175694790705,0.575236476965832,0.0288018433179724,45,1.45571276399293,6293.157655073,1278470.10522408,43.929209,-114.8403862,19.48761255,6.1,1.962187216,2138,17,17060201,16,"Region_10",52.62,1450,85,4,6166,-0.343626786551376,20.042857,6.420653595,"Idaho Batholith","II","Western Forested Mountains","II","WMTNS NATURAL","ID","7/18/2007",-0.161340069823327,1.46623673133592,-0.760988925522107,0.335995064467242,-1.86492232990415,-1.25847719427308,0.656446673151627,-1.61624525347439,0.238729305135649,-0.091241091420139,1.32512159782791,-0.331962718778632
"NLA06608-0006",16,96.1666666666667,2.24398056268609,-0.138445554251127,0.0779896013864818,39,1.79907830465578,14251.979251732,5000490.103793,41.683146,-73.1465177,56.19974819,25.3,5.836994717,198.75,1,1100005,59,"Region_1",74.74,3160,184,7,2482,-1.25022701539044,10.9148,5.731176471,"Northeastern Coastal Zone","XIV","Eastern Coastal Plain","CPL","EHIGH MAN-MADE","CT","7/17/2007",0.589251290664591,1.15423428874428,1.68515592403147,0.69496602046179,-1.13245920687819,-0.902487116642156,0.209654833465313,-0.684227150657393,-0.444913213246462,-2.22698771620619,-0.0595154717222569,-0.48682672976569
"NLA06608-0007",26,50.0460829493088,2.97522732643417,0.245844770250312,0.069060773480663,24,2.10189409651027,14050.588501121,1797268.02025103,45.580645,-92.04001797,25.4747633,19.2,3.02298601,390.86,7,7050007,51,"Region_5",26.65,6680,493,8,91,-2.55100125676822,11.145,5.465816993,"North Central Hardwood Forests","VII","Mostly Glaciated Dairy Region","VII","PLNLOW NATURAL","WI","7/24/2007",0.0261072619616481,0.0956827067453098,1.20086088777135,2.00015127576763,-0.197705004862344,-0.817543389443283,0.984953989537768,0.211345120102566,-2.92857342504028,-2.15364246353864,-0.637352807979682,-0.466323008100925
"NLA06608-0008",20,12.464046021093,2.50729532724369,1.19376090402053,0.38021978021978,31,1.83861717858243,7802.23657936,1467146.5721155,41.292111,-93.59040488,48.7370362,5.5,5.71138051,261.56,7,7100008,47,"Region_7",238.1,7600,801,66,3789,0.61552997729285,24.2,5.712222222,"Western Corn Belt Plains","VI","Corn Belt and Northern Great Plains","VI","PLNLOW MAN-MADE","IA","7/12/2007",-0.0855830522764643,0.653693657903882,0.170119992902225,1.29484034488016,0.262620529214301,0.524832893006893,0.131869282912306,0.365718971406499,-0.127098985330536,0.571108567918434,-0.0998933080064976,0.21160816037371
"NLA06608-0010",30,4.42365542784608,3.27783188415078,1.3047781088765,0.287735849056604,45,3.35832093493953,8707.028032602,4394889.2397679,42.61823,-83.50588771,30.03733238,11.8,2.423467747,284.65,4,4090005,56,"Region_5",650.1,4940,473,10,3131,0.957147454826409,17.876923,5.732745098,"Southern Michigan/Northern Indiana Drift Plains","VII","Mostly Glaciated Dairy Region","VII","PLNLOW NATURAL","MI","7/17/2007",0.518206093890066,1.46623673133592,-0.597974941597423,2.38484768037837,-0.236983367508357,-0.675594409682991,0.395663819242309,-0.149676548723518,-0.270403002586789,-0.493128943202349,-0.0561798439902542,0.349407951794908
"NLA06608-0012",24,7.76204896201978,2.2961059016118,2.0818985428683,0.0857814336075206,28,1.48067601180809,18578.407436138,5310499.55308917,35.990788,-96.87178731,177.6575126,3.5,13.50645679,255.6,11,11050003,27,"Region_6",219.5,8010,1026,159,10202,-0.488157257815575,26.506,5.317124183,"Central Great Plains","V","South Central Cultivated Great Plains","V","PLNLOW MAN-MADE","OK","6/13/2007",0.622354149483748,0.431777081940147,-0.181050548161075,1.78497335595999,0.497417541218512,1.08415250181582,-0.922681660645985,0.428581669092689,0.617017554671519,0.890962815763891,-0.973532407863795,1.65688537627687
"NLA06608-0013",27,3.38626195280288,3.00192087441741,1.15675516906854,0.301813471502591,45,1.8467165477695,16747.569539388,3082248.68193445,39.97428,-74.56255123,37.14025576,2.3,8.284688178,15.44,2,2040202,84,"Region_2",47.52,4790,384,28,3103,-3.11598400807373,25.1,5.676535948,"Atlantic Coastal Pine Barrens","XIV","Eastern Coastal Plain","CPL","PLNLOW MAN-MADE","NJ","9/4/2007",0.322955348255346,1.46623673133592,-0.796130253752891,2.10160817926631,-0.434687730303216,-0.0206195069825659,-0.130276586052925,-0.186567936294763,-0.277151680081048,0.699429154992819,-0.176279937786217,0.168396157555006
"NLA06608-0014",18,2.72095527062739,0.884249019110961,1.89686986810835,0.0341726618705036,39,2.30191419949115,26523.754508745,429928.1724917,47.834927,-100.5756807,12.80952857,1.7,1.383813932,498.4,9,9010003,46,"Region_8",8722,41270,4147,175,7661,1.81119114866031,21.56,5.440392157,"Northern Glaciated Plains","VI","Corn Belt and Northern Great Plains","VI","PLNLOW NATURAL","ND","8/6/2007",-0.761099820956782,1.15423428874428,-0.958326237599711,1.0116008437681,1.82211590378858,1.14514606219761,1.43338077095563,2.39003979463565,0.401823586313827,0.165176894995129,-0.694182619839638,1.29115600782345
"NLA06608-0015",24,22.6595784790559,2.96456270972082,1.52681251858844,0.0443704936217415,23,2.20579946412459,48459.85185217,57170559.8361893,33.007108,-107.2747938,173.9929805,7,50.15536722,1275.36,13,13030101,24,"Region_6",743.6,3780,470,109,21271,0.457860372277359,23.575,6.095294118,"Chihuahuan Deserts","III","Xeric West","III","WMTNS MAN-MADE","NM","7/10/2007",1.9301531405088,0.00289007662102084,0.613333510985823,1.78497335595999,-0.243017981120232,0.8439764621806,-1.51620191196363,-0.46988687505037,1.16901941420999,0.479157538757834,0.691268421620369,0.661744557980187
"NLA06608-0016",24,13.4251322103392,2.8872574214212,1.24926950644851,0.118918918918919,59,3.72293076261762,29902.337212684,11015594.2747172,41.030252,-100.7797567,641.0233086,6.3,18.96803762,916,10,10190018,44,"Region_7",1060,4690,490,6,6956,0.61552997729285,23.575,6.138366013,"Nebraska Sand Hills","IV","Great Plains Grass and Shrublands","IVman","PLNLOW MAN-MADE","NE","6/27/2007",1.02389554798493,2.05682477524261,0.225198021224509,1.78497335595999,-0.203494057868816,-1.00054745314735,0.0797797091343584,-0.211809713827346,0.329297791985531,0.479157538757834,0.777096710889544,0.278977346778355
"NLA06608-0019",15,3.21204038864546,1.75073922714482,-0.0274283493951555,0.212336892052195,40,2.34073860993734,497125.551225673,46287789.1327196,46.366888,-99.51185877,103.3135279,1.2,7.965656888,600.25,10,10130104,42,"Region_8",3327,44990,7047,801,26392,0.510416907282524,22.9,5.525816993,"Northwestern Glaciated Plains","V","South Central Cultivated Great Plains","V","PLNLOW NATURAL","ND","6/11/2007",1.81394314445832,1.20943464767437,-0.835295904260865,0.521467832688276,2.32499309765608,2.1127520687579,1.14135519307057,2.49329574791543,1.33108002449396,0.377071251337143,-0.504281508146058,-0.495975031716026
"NLA06608-0020",21,23.4848103601563,3.11982382636191,3.27136859489656,0.138571428571429,36,2.21711301740871,54627.111118888,14950851.5052751,39.408178,-87.81380832,296.2001459,14.9,36.78983872,184.92,5,5120111,54,"Region_5",214.1,5030,605,30,732,0.549834308536395,15.346667,5.78503268,"Central Corn Belt Plains","VI","Corn Belt and Northern Great Plains","VI","PLNLOW MAN-MADE","IL","6/11/2007",1.191999968946,0.979717355996486,0.639857454612973,1.42600239996545,-0.00354168049626527,0.0232691362725353,-0.242886853008973,-0.128075675335458,-1.3622403080068,-1.02943434244321,0.0544886348082819,4.82021584602415
"NLA06608-0021",16,19.5398291790134,1.31472568655276,-0.138445554251127,0.0285459411239964,20,1.70787304717638,7599.063710279,20578966.4927149,42.77192,-77.3095481,4226.925272,53,56.14938354,209.55,4,4140201,83,"Region_2",366.8,2920,390,7,3054,0.418442971023488,15.2325,5.509411765,"Eastern Great Lakes and Hudson Lowlands","VII","Mostly Glaciated Dairy Region","VII","EHIGH NATURAL","NY","7/27/2007",1.36783385778531,-0.301832567166436,0.503498418936104,0.69496602046179,-0.419982987590316,-0.902487116642156,0.426236175334454,-0.778730140017055,-0.289109737000821,-1.05567468207123,-0.540521854810998,-0.48682672976569
"NLA06608-0023",17,2.47758662466683,1.68306725905113,0.547248946329873,0.0317848410757946,37,1.98854885354051,15983.644443842,3088269.92277777,31.148492,-97.745332,6.20722172,3,0.974665509,265.85,12,12070202,29,"Region_6",175.7,3880,349,12,4215,0.195077697251545,29.15,5.38130719,"Cross Timbers","IX","Southeastern Temperate Forested Plains and Hills","IX","PLNLOW MAN-MADE","TX","8/9/2007",0.324029398205123,1.03945527684804,-1.02780232297895,0.85794251626939,-0.525330443319179,-0.559613648317552,-1.88592193402464,-0.438647087811265,-0.0470533559636262,1.22510321378793,-0.827282278606115,-0.347569646835966
"NLA06608-0024",16,4.65116279069767,1.83131026477969,1.52681251858844,0.0761904761904762,32,2.25068545724244,50695.619054398,2826736.315929,32.12205,-95.48843409,9530.145112,12.9,239.2872937,105.13,12,12020001,35,"Region_6",181.4,8200,860,35,9619,-0.42246158905912,25.928571,5.29751634,"South Central Plains","IX","Southeastern Temperate Forested Plains and Hills","IX","PLNLOW MAN-MADE","TX","7/11/2007",0.275330901094494,0.722915272334942,-0.560788619692446,0.69496602046179,0.330027307961155,0.121329472777726,-1.69225961473024,0.456629716903732,0.572810375612763,0.813561039938502,-1.01856387713819,0.661744557980187
"NLA06608-0025",22,8.76198269815291,3.04982030929609,1.82958671365018,0.066711140760507,37,2.40463225296121,15909.012764148,2688902.4650402,35.201321,-81.34573084,11.48123514,8,1.982772888,245.48,3,3050105,45,"Region_4",84.96,3430,195,10,5669,-0.501296391566865,19.477778,5.560261438,"Piedmont","IX","Southeastern Temperate Forested Plains and Hills","IX","EHIGH MAN-MADE","NC","6/18/2007",0.247819639309303,1.03945527684804,-0.0911999742094315,1.55106164002217,-1.07738935513253,-0.675594409682991,-1.07972418941817,-0.58613512631877,0.175594603015627,-0.19174138909212,-0.428540037160319,1.16659717029193
