"SITEID_07","ECO3","ln_phyDen","ln_phySR","ln_phySRr","ln_zpDen","ln_zpSR","ln_zpSRr","ln_NTL","ln_PTL","Lat","ln_DOC","ln_Silica","pH","ln_Temp","ln_Sol","WOmni","WOmni2","Omni","Omni2"
"NLA06608-0001",41,18.5268163297802,2.94443897916644,2.94443897916644,3.29066725151734,0.693147180559945,0.693147180559945,5.01727983681492,1.79175946922805,48.979029,6.44571981938558,7.07496319796604,7.63,2.70656763597878,1.73905479053416,0,0,0,0
"NLA06608-0002",63,22.6282391498598,3.87120101090789,3.78538582372,7.1418003302133,3.13549421592915,2.8341251996675,6.54391184556479,3.58351893845611,33.036064,9.54824016058858,7.43543801981455,6.05,3.10090277115953,1.74247081473296,0.261648745519713,0.0684600660320397,0.391304347826087,0.153119092627599
"NLA06608-0003",34,24.5045114607636,3.29583686600433,3.28694163981141,7.71607330300874,2.63905732961526,2.26609479828723,6.60394382460047,3.76120011569356,28.047742,8.69951474821019,10.7199137492562,8.47,3.39986315864902,1.65294805531588,0.901734104046243,0.81312439440008,0.857142857142857,0.73469387755102
"NLA06608-0004",21,23.3203170105766,3.66356164612965,3.51094086307834,9.6194026062652,2.94443897916644,2.18891964320071,5.8406416573734,2.89037175789616,37.41662,8.98719682066197,7.92407232492342,8.25,3.00780199058416,1.89600171275261,0.16098144823459,0.025915026675706,0.684210526315789,0.46814404432133
"NLA06608-0005",16,20.9689299697269,3.80666248977032,3.73924973693069,8.17487484425865,2.63905732961526,1.98286161185121,4.44265125649032,1.38629436111989,43.929209,7.27931883541462,8.7268056084461,7.75,2.99787283092552,1.85951991859475,0.0288018433179724,0.000829546178513028,0.357142857142857,0.127551020408163
"NLA06608-0006",59,22.3328017653354,3.66356164612965,3.57221159706893,11.4738380762622,2.77258872223978,2.38944478800902,5.21493575760899,1.94591014905531,41.683146,8.05832730658096,7.81681996576455,7.06,2.39011966642588,1.74592082745288,0.0779896013864818,0.00608237792442232,0.25,0.0625
"NLA06608-0007",51,21.3095335823469,3.17805383034795,3.09281480699918,10.8206995189296,3.25809653802148,2.75597917743146,6.20050917404269,2.07944154167984,45.580645,8.80687326653069,4.51085950651685,6.07,2.41099096683783,1.69851360597209,0.069060773480663,0.00476939043374744,0.307692307692308,0.0946745562130178
"NLA06608-0008",47,21.1065852439421,3.43398720448515,3.37157372270796,9.43060346042504,2.99573227355399,2.63145820902905,6.68586094706836,4.18965474202643,41.292111,8.93590352627442,8.2398574110186,8.48,3.18635263316264,1.74260812869229,0.38021978021978,0.144567081270378,0.45,0.2025
"NLA06608-0010",56,22.203708166348,3.80666248977032,3.7772851453144,8.39472165315392,3.40119738166216,2.61743633597237,6.15909538849193,2.30258509299405,42.61823,8.50512061018197,8.04910772132641,8.74,2.88351066321329,1.74619449070159,0.287735849056604,0.0827919188323247,0.466666666666667,0.217777777777778
"NLA06608-0012",27,22.3929517455698,3.3322045101752,3.31151908591141,8.95700161982184,3.17805383034795,2.6477909448572,6.93342302573071,5.06890420222023,35.990788,8.9884460400624,9.23033905848287,7.64,3.27737112245849,1.67093259008922,0.0857814336075206,0.00735845435176146,0.583333333333333,0.340277777777778
"NLA06608-0013",84,21.8489252590819,3.80666248977032,3.66922539577453,8.12748192319828,3.29583686600433,2.8424338223366,5.95064255258773,3.3322045101752,39.97428,8.47428569040496,8.04012466444838,5.64,3.22286784613774,1.73634117837788,0.301813471502591,0.0910913715804451,0.444444444444444,0.197530864197531
"NLA06608-0014",46,19.8791287119821,3.66356164612965,3.49297726606419,7.90873830006944,2.89037175789616,1.89738048393766,8.33014046024638,5.16478597392351,47.834927,10.6278911227466,8.94389780251682,9.39,3.0708397460408,1.69385114595348,0.0341726618705036,0.00116777081931577,0.555555555555556,0.308641975308642
"NLA06608-0015",24,24.7693049146562,3.13549421592915,3.10964343460204,10.0283379324256,3.17805383034795,2.6107306805967,6.1527326947041,4.69134788222914,33.007108,8.23747928861363,9.96509992166365,8.36,3.16018682851952,1.80751701738833,0.0443704936217415,0.00196874070423701,0.5,0.25
