"SITEID_12","zpSR","zpDen","zpDiv.Sh","Omni","W.Omni","phySR","phyDiv.Sh","phyDen.Ind","phyDen.BioV","SITEID_07","LAT_DD","LON_DD","LakeArea","LakeDepth","LakePerim","LakeEleva","HUC2","HUC8","ECO3","ECO3_2015","EPA_REG","Cond","DOC","NTL","PTL","Silica","pH","Temp","Sol","ln_phyDen.BioV","ln_phySR","ln_zpSR","ln_zpDen","ln_Cond","ln_DOC","ln_NTL","ln_PTL","ln_Silica"
"NLA12_AL-101",48,1.1406819,2.70052063852534,0.458333333333333,0.47156082690538,57,3.5113006837965,55585.4085,15787978.9708,"NLA06608-2187",33.29204144,-87.3913824,1301.87197,13.4,104.2086662,57.03,3,3160112,68,68,"Region_4",374.5,2335,440.5,27.5,3178,8.41,27.5884615384615,5.85928104575163,16.5747593837903,4.04305126783455,3.87120101090789,0.131626241476014,5.92559180295727,7.755767170103,6.08791044537623,3.31418600467253,8.06400734709666
"NLA12_AL-102",41,0.3531442,2.47195319712551,0.292682926829268,0.0610917579844154,37,1.57906040263658,320369.1548,34746178.9008,"NLA06608-0459",34.22781586,-86.84344912,72.95042027,17.3,11.87230532,247.04,3,3160109,68,68,"Region_4",76,3380,389,12,1783,7.37,19.2692307692308,6.04470588235294,17.3635801642399,3.61091791264422,3.71357206670431,-1.0408788068781,4.33073334028633,8.12563098847706,5.96357934361845,2.484906649788,7.48605261786314
"NLA12_AL-103",28,0.3300622,2.39814934107825,0.571428571428571,0.628874496988749,49,2.93573404888633,304362.7784,19234767.3935,"NLA06608-2955",33.7624784,-86.05315833,10363.25848,6.5,688.4591342,141.76,3,3150106,67,67,"Region_4",199.9,2830,449,56,3527,8.34,29.5730769230769,5.84653594771242,16.7722300012178,3.89182029811063,3.3322045101752,-1.10847415743416,5.29781724150635,7.94803199063728,6.10702288774225,4.02535169073515,8.16820293023605
"NLA12_AL-104",43,0.0640716,3.24136959378418,0.651162790697674,0.222632180248347,31,3.04675962831532,10241.579,3697157.1651,"NLA06608-0283",32.51586852,-87.86108477,4731.474336,19.8,698.1088203,22.28,3,3160201,65,65,"Region_4",345,2680,344,37,2698,7.99,29.9589743589744,5.88228758169935,15.123074748538,3.43398720448515,3.76120011569356,-2.74775407095689,5.84354441703136,7.8935720735049,5.8406416573734,3.61091791264422,7.9002660367677
"NLA12_AL-105",28,3.8971885,2.55213832762957,0.464285714285714,0.3253576264017,24,2.19335837830697,564581.0314,90104854.6233,"",31.62154629,-88.35373896,32.56146308,4.8,2.998953879,50.83,3,3160203,65,65,"Region_4",31.1,6830,1464,82,1955,8.85,28.0647435897436,5.81235294117647,18.3164846015189,3.17805383034795,3.3322045101752,1.3602553957282,3.43720781918519,8.82907995256484,7.28892769452126,4.40671924726425,7.57814547241947
"NLA12_AL-112",21,0.2450021,1.41765870991684,0.285714285714286,0.742192413860942,30,2.26660157151332,74955.6086,14546940.7178,"",33.36486204,-88.16688028,5.55544262,3.8,1.293121817,78.07,3,3160106,65,65,"Region_4",52.4,3820,379,33,5049,7.73,28.3666666666667,5.93346405228758,16.492891269529,3.40119738166216,3.04452243772342,-1.40648849704557,3.958906591327,8.24800570160062,5.93753620508243,3.49650756146648,8.52694548285892
"NLA12_AL-113",12,0.1095674,1.18976478048555,0.0833333333333333,0.00376206791436139,14,1.74492043492023,12480.7751,415318.8571,"",30.97184148,-88.0527428,29.40501835,2.5,3.81355553,13.99,3,3160204,65,65,"Region_4",22.5,3410,248,27,7562,6.51,27.25,5.96705882352941,12.9368018345596,2.63905732961526,2.484906649788,-2.21121539396931,3.11351530921037,8.13446757027756,5.51342874616498,3.29583686600433,8.93089098445088
"NLA12_AL-114",34,0.4945799,2.00379117203538,0.323529411764706,0.59569889516335,31,2.97135795543756,64557.4033,4088200.1932,"",33.88200988,-85.9316179,18.10471487,3.5,3.585987135,171.04,3,3150106,67,67,"Region_4",175.9,3600,510,62,13866,8.8,31.3551282051282,5.90647058823529,15.223615380606,3.43398720448515,3.52636052461616,-0.704046563620725,5.16991565174351,8.1886891244442,6.23441072571837,4.12713438504509,9.53719507950244
"NLA12_AL-R03",28,0.2205175,1.80855256670062,0.25,0.261463149183171,24,0.807398793711075,62677.936,2898024.6213,"NLA06608-1871",33.32192301,-85.81071637,22.42053898,9.3,4.766510605,317.68,3,3150109,45,45,"Region_4",37.6,1490,126,31,12345,7.51,19.8974358974359,5.90647058823529,14.8795398977894,3.17805383034795,3.3322045101752,-1.51177822216511,3.62700405039585,7.30653139893951,4.83628190695148,3.43398720448515,9.42100640177928
"NLA12_AR-101",45,5.6003805,2.2832139974489,0.488888888888889,0.151351501920271,65,2.18984185959574,235450.4907,51094956.9306,"NLA06608-1808",34.53435079,-92.26882632,105.7849996,2,9.08146137,74.14,11,11110207,35,35,"Region_6",45.05,11185,855.5,84,7292.5,7.33,29.86,6.19849673202614,17.7491963601002,4.17438726989564,3.80666248977032,1.72283454186142,3.80777298405435,9.32232887392423,6.75168609333225,4.43081679884331,8.89460170174188
